index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	254	248	#FFFEF8
2	255	255	204	#FFFFCC
3	238	238	238	#EEEEEE
4	204	255	255	#CCFFFF
5	253	249	206	#FDF9CE
6	254	247	169	#FEF7A9
7	221	221	221	#DDDDDD
8	227	221	207	#E3DDCF
9	217	217	217	#D9D9D9
10	255	222	144	#FFDE90
11	255	157	206	#FF9DCE
12	170	220	220	#AADCDC
13	224	240	145	#E0F091
14	203	203	203	#CBCBCB
15	255	180	170	#FFB4AA
16	214	201	183	#D6C9B7
17	225	212	137	#E1D489
18	186	241	147	#BAF193
19	183	193	193	#B7C1C1
20	207	191	170	#CFBFAA
21	254	156	156	#FE9C9C
22	158	249	158	#9EF99E
23	249	215	100	#F9D764
24	255	204	102	#FFCC66
25	199	189	169	#C7BDA9
26	196	184	168	#C4B8A8
27	255	146	146	#FF9292
28	203	227	111	#CBE36F
29	151	151	237	#9797ED
30	255	189	94	#FFBD5E
31	124	250	160	#7CFAA0
32	255	92	185	#FF5CB9
33	255	143	133	#FF8F85
34	191	176	155	#BFB09B
35	186	172	153	#BAAC99
36	255	255	0	#FFFF00
37	250	206	54	#FACE36
38	183	172	155	#B7AC9B
39	255	169	83	#FFA953
40	255	176	74	#FFB04A
41	159	229	112	#9FE570
42	157	168	168	#9DA8A8
43	255	163	72	#FFA348
44	255	163	71	#FFA347
45	255	162	69	#FFA245
46	255	162	68	#FFA244
47	176	161	144	#B0A190
48	180	162	138	#B4A28A
49	254	160	65	#FEA041
50	143	221	113	#8FDD71
51	254	158	62	#FE9E3E
52	250	158	66	#FA9E42
53	255	107	107	#FF6B6B
54	254	157	58	#FE9D3A
55	248	156	65	#F89C41
56	247	155	64	#F79B40
57	255	155	55	#FF9B37
58	246	154	63	#F69A3F
59	246	154	61	#F69A3D
60	255	153	51	#FF9933
61	246	153	60	#F6993C
62	153	153	153	#999999
63	254	152	50	#FE9832
64	245	152	58	#F5983A
65	245	152	57	#F59839
66	116	169	169	#74A9A9
67	253	151	49	#FD9731
68	245	151	55	#F59737
69	85	242	123	#55F27B
70	245	150	53	#F59635
71	251	149	47	#FB952F
72	237	173	37	#EDAD25
73	152	204	85	#98CC55
74	245	147	48	#F59330
75	138	151	151	#8A9797
76	188	109	142	#BC6D8E
77	248	146	44	#F8922C
78	245	145	46	#F5912E
79	247	145	43	#F7912B
80	245	144	42	#F5902A
81	162	145	124	#A2917C
82	245	143	41	#F58F29
83	93	236	93	#5DEC5D
84	229	137	46	#E5892E
85	255	77	77	#FF4D4D
86	255	153	0	#FF9900
87	126	140	140	#7E8C8C
88	218	156	23	#DA9C17
89	81	90	224	#515AE0
