index	r	g	b	hex
0	255	255	255	#FFFFFF
1	132	82	90	#84525A
2	247	8	57	#F70839
3	173	57	82	#AD3952
4	198	82	107	#C6526B
5	156	90	107	#9C5A6B
6	231	107	140	#E76B8C
7	189	99	123	#BD637B
8	206	115	140	#CE738C
9	132	49	74	#84314A
10	181	156	189	#B59CBD
11	198	181	206	#C6B5CE
12	107	90	123	#6B5A7B
13	239	231	247	#EFE7F7
14	156	140	173	#9C8CAD
15	132	115	156	#84739C
16	132	123	148	#847B94
17	231	222	247	#E7DEF7
18	82	74	99	#524A63
19	107	99	123	#6B637B
20	115	107	132	#736B84
21	140	132	156	#8C849C
22	156	148	173	#9C94AD
23	173	165	189	#ADA5BD
24	214	206	231	#D6CEE7
25	206	198	222	#CEC6DE
26	99	90	123	#635A7B
27	132	123	156	#847B9C
28	107	99	132	#6B6384
29	57	57	90	#39395A
30	74	74	107	#4A4A6B
31	99	99	123	#63637B
32	115	115	132	#737384
33	148	148	156	#94949C
34	132	165	198	#84A5C6
35	206	222	231	#CEDEE7
36	198	214	222	#C6D6DE
37	189	206	214	#BDCED6
38	214	231	239	#D6E7EF
39	107	123	123	#6B7B7B
40	156	173	173	#9CADAD
41	181	198	198	#B5C6C6
42	140	148	148	#8C9494
43	181	189	189	#B5BDBD
44	214	222	222	#D6DEDE
45	198	206	206	#C6CECE
46	255	239	132	#FFEF84
47	214	198	99	#D6C663
48	206	181	57	#CEB539
49	255	239	156	#FFEF9C
50	255	206	49	#FFCE31
51	255	214	90	#FFD65A
52	198	148	33	#C69421
53	231	173	41	#E7AD29
54	239	189	82	#EFBD52
55	214	165	74	#D6A54A
56	222	156	82	#DE9C52
57	214	123	33	#D67B21
58	214	132	49	#D68431
59	156	123	90	#9C7B5A
60	206	165	123	#CEA57B
61	255	206	156	#FFCE9C
62	255	214	173	#FFD6AD
63	214	181	148	#D6B594
64	206	99	0	#CE6300
65	189	57	16	#BD3910
66	206	99	66	#CE6342
67	255	247	247	#FFF7F7
68	247	247	247	#F7F7F7
69	239	239	239	#EFEFEF
70	222	222	222	#DEDEDE
71	214	214	214	#D6D6D6
72	189	189	189	#BDBDBD
73	173	173	173	#ADADAD
74	123	123	123	#7B7B7B
75	49	49	49	#313131
76	9	9	9	#090909
77	99	41	49	#632931
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
