index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	186	27	33	#BA1B21
3	84	0	10	#54000A
4	139	22	45	#8B162D
5	226	1	51	#E20133
6	78	1	19	#4E0113
7	255	55	100	#FF3764
8	177	73	96	#B14960
9	106	4	30	#6A041E
10	176	57	85	#B03955
11	125	1	41	#7D0129
12	95	1	30	#5F011E
13	36	1	12	#24010C
14	170	71	103	#AA4767
15	255	112	161	#FF70A1
16	210	120	153	#D27899
17	194	106	141	#C26A8D
18	132	44	82	#842C52
19	255	128	185	#FF80B9
20	191	103	147	#BF6793
21	7	5	6	#070506
22	97	17	61	#61113D
23	255	94	184	#FF5EB8
24	87	1	52	#570134
25	84	1	51	#540133
26	80	1	49	#500131
27	108	1	67	#6C0143
28	101	1	64	#650140
29	108	1	71	#6C0147
30	73	1	48	#490130
31	41	1	27	#29011B
32	255	103	200	#FF67C8
33	211	97	171	#D361AB
34	81	0	55	#510037
35	116	1	77	#74014D
36	92	1	61	#5C013D
37	63	1	42	#3F012A
38	136	4	91	#88045B
39	204	65	157	#CC419D
40	214	73	166	#D649A6
41	255	98	202	#FF62CA
42	84	1	59	#54013B
43	145	0	105	#910069
44	55	1	39	#370127
45	157	7	115	#9D0773
46	166	18	124	#A6127C
47	107	34	92	#6B225C
48	168	5	138	#A8058A
49	241	60	206	#F13CCE
50	157	93	144	#9D5D90
51	191	4	161	#BF04A1
52	127	5	106	#7F056A
53	17	11	16	#110B10
54	210	5	179	#D205B3
55	133	24	118	#851876
56	218	151	209	#DA97D1
57	205	6	180	#CD06B4
58	106	12	103	#6A0C67
59	255	114	255	#FF72FF
60	39	19	39	#271327
61	255	143	255	#FF8FFF
62	255	163	255	#FFA3FF
63	255	182	255	#FFB6FF
64	10	9	10	#0A090A
65	156	86	157	#9C569D
66	126	5	130	#7E0582
67	160	5	171	#A005AB
68	234	5	255	#EA05FF
69	232	6	255	#E806FF
70	71	7	78	#47074E
71	79	32	83	#4F2053
72	48	0	54	#300036
73	131	40	143	#83288F
74	73	31	79	#491F4F
75	183	108	194	#B76CC2
76	73	2	88	#490258
77	174	139	182	#AE8BB6
78	98	36	114	#622472
79	155	68	181	#9B44B5
80	183	108	205	#B76CCD
81	240	226	245	#F0E2F5
82	160	80	189	#A050BD
83	223	193	235	#DFC1EB
84	89	43	110	#592B6E
85	88	43	109	#582B6D
86	29	16	35	#1D1023
87	171	109	204	#AB6DCC
88	223	198	240	#DFC6F0
89	181	136	218	#B588DA
90	99	45	150	#632D96
91	219	194	245	#DBC2F5
92	88	58	161	#583AA1
93	98	73	171	#6249AB
94	130	119	188	#8277BC
95	151	139	215	#978BD7
96	93	88	146	#5D5892
97	75	71	117	#4B4775
98	139	131	212	#8B83D4
99	123	119	167	#7B77A7
100	146	142	187	#928EBB
101	45	43	71	#2D2B47
102	209	208	226	#D1D0E2
103	133	132	158	#85849E
104	23	28	76	#171C4C
105	58	91	149	#3A5B95
106	10	68	126	#0A447E
107	62	150	203	#3E96CB
108	204	216	220	#CCD8DC
109	86	105	110	#56696E
110	213	216	213	#D5D8D5
111	62	175	33	#3EAF21
112	25	25	19	#191913
113	133	133	132	#858584
114	230	218	179	#E6DAB3
115	230	189	75	#E6BD4B
116	155	150	135	#9B9687
117	186	156	89	#BA9C59
118	238	214	165	#EED6A5
119	255	176	39	#FFB027
120	255	161	0	#FFA100
121	255	198	127	#FFC67F
122	231	126	12	#E77E0C
123	137	97	54	#896136
124	227	120	12	#E3780C
125	255	187	127	#FFBB7F
126	219	106	17	#DB6A11
127	187	88	14	#BB580E
128	163	69	10	#A3450A
129	101	37	0	#652500
130	158	66	12	#9E420C
131	241	190	162	#F1BEA2
132	199	69	0	#C74500
133	141	55	9	#8D3709
134	255	169	126	#FFA97E
135	231	70	0	#E74600
136	121	36	0	#792400
137	166	81	51	#A65133
138	255	173	149	#FFAD95
139	62	15	4	#3E0F04
140	159	43	16	#9F2B10
141	97	19	5	#611305
142	110	24	10	#6E180A
143	159	36	18	#9F2412
144	254	154	144	#FE9A90
145	255	151	148	#FF9794
146	68	0	0	#440000
147	67	0	0	#430000
148	40	0	0	#280000
149	189	189	189	#BDBDBD
150	184	184	184	#B8B8B8
151	178	178	178	#B2B2B2
152	149	149	149	#959595
153	71	71	71	#474747
154	6	6	6	#060606
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
