member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
1260	bitmap	shine3	0			bitmaps/01260_shine3.png
1260	bitmap	shine3	0	1860	BITD	raw_chunks/01260_shine3_1860_BITD.bin
1279	bitmap	sh_std_ch_911_3_0	0			bitmaps/01279_sh_std_ch_911_3_0.png
1279	bitmap	sh_std_ch_911_3_0	0	1872	BITD	raw_chunks/01279_sh_std_ch_911_3_0_1872_BITD.bin
1282	bitmap	sh_std_ch_911_1_0	0			bitmaps/01282_sh_std_ch_911_1_0.png
1282	bitmap	sh_std_ch_911_1_0	0	1868	BITD	raw_chunks/01282_sh_std_ch_911_1_0_1868_BITD.bin
1290	bitmap	sh_std_ch_911_0_0	0			bitmaps/01290_sh_std_ch_911_0_0.png
1290	bitmap	sh_std_ch_911_0_0	0	1866	BITD	raw_chunks/01290_sh_std_ch_911_0_0_1866_BITD.bin
1293	bitmap	sunray	0			bitmaps/01293_sunray.png
1293	bitmap	sunray	0	1864	BITD	raw_chunks/01293_sunray_1864_BITD.bin
1294	bitmap	secret_glass1	0			bitmaps/01294_secret_glass1.png
1294	bitmap	secret_glass1	0	1846	BITD	raw_chunks/01294_secret_glass1_1846_BITD.bin
1308	bitmap	shine1	0			bitmaps/01308_shine1.png
1308	bitmap	shine1	0	1856	BITD	raw_chunks/01308_shine1_1856_BITD.bin
1309	bitmap	sh_std_ch_911_7_0	0			bitmaps/01309_sh_std_ch_911_7_0.png
1309	bitmap	sh_std_ch_911_7_0	0	1874	BITD	raw_chunks/01309_sh_std_ch_911_7_0_1874_BITD.bin
1314	bitmap	lowerwall	0			bitmaps/01314_lowerwall.png
1314	bitmap	lowerwall	0	1768	BITD	raw_chunks/01314_lowerwall_1768_BITD.bin
1320	bitmap	sh_std_ch_911_2_0	0			bitmaps/01320_sh_std_ch_911_2_0.png
1320	bitmap	sh_std_ch_911_2_0	0	1870	BITD	raw_chunks/01320_sh_std_ch_911_2_0_1870_BITD.bin
1324	bitmap	bigglass2	0			bitmaps/01324_bigglass2.png
1324	bitmap	bigglass2	0	1842	BITD	raw_chunks/01324_bigglass2_1842_BITD.bin
1336	bitmap	pole2	0			bitmaps/01336_pole2.png
1336	bitmap	pole2	0	1764	BITD	raw_chunks/01336_pole2_1764_BITD.bin
1337	text	memberalias.index	0	1749	STXT	text/01337_memberalias.index_stxt_0.txt
1337	text	memberalias.index	0	1749	STXT	raw_chunks/01337_memberalias.index_1749_STXT.bin
1341	bitmap	fence2	0			bitmaps/01341_fence2.png
1341	bitmap	fence2	0	1806	BITD	raw_chunks/01341_fence2_1806_BITD.bin
1345	text	sun_chair.props	0	1796	STXT	text/01345_sun_chair.props_stxt_0.txt
1345	text	sun_chair.props	0	1796	STXT	raw_chunks/01345_sun_chair.props_1796_STXT.bin
1346	text	sun_table2.props	0	1794	STXT	text/01346_sun_table2.props_stxt_0.txt
1346	text	sun_table2.props	0	1794	STXT	raw_chunks/01346_sun_table2.props_1794_STXT.bin
1347	text	sun_table.props	0	1792	STXT	text/01347_sun_table.props_stxt_0.txt
