index	r	g	b	hex
0	255	255	255	#FFFFFF
1	20	21	12	#14150C
2	18	19	11	#12130B
3	23	24	13	#17180D
4	21	22	12	#15160C
5	54	56	31	#36381F
6	26	27	15	#1A1B0F
7	55	57	32	#373920
8	24	25	14	#18190E
9	53	55	31	#35371F
10	22	23	13	#16170D
11	56	58	33	#383A21
12	27	28	16	#1B1C10
13	25	26	15	#191A0F
14	39	40	22	#272816
15	30	31	17	#1E1F11
16	72	74	41	#484A29
17	63	65	36	#3F4124
18	37	38	21	#252615
19	28	29	16	#1C1D10
20	192	197	110	#C0C56E
21	183	188	105	#B7BC69
22	167	172	96	#A7AC60
23	159	163	91	#9FA35B
24	152	156	87	#989C57
25	150	154	86	#969A56
26	143	147	82	#8F9352
27	134	138	77	#868A4D
28	127	131	73	#7F8349
29	125	129	72	#7D8148
30	119	122	68	#777A44
31	117	120	67	#757843
32	112	115	64	#707340
33	110	113	63	#6E713F
34	108	111	62	#6C6F3E
35	103	106	59	#676A3B
36	101	104	58	#65683A
37	94	97	54	#5E6136
38	92	95	53	#5C5F35
39	79	81	45	#4F512D
40	77	79	44	#4D4F2C
41	75	77	43	#4B4D2B
42	70	72	40	#464828
43	68	70	39	#444627
44	61	63	35	#3D3F23
45	59	61	34	#3B3D22
46	35	36	20	#232414
47	191	196	110	#BFC46E
48	190	195	109	#BEC36D
49	189	194	109	#BDC26D
50	188	193	108	#BCC16C
51	186	191	107	#BABF6B
52	184	189	106	#B8BD6A
53	182	187	105	#B6BB69
54	181	186	104	#B5BA68
55	180	185	104	#B4B968
56	179	184	103	#B3B867
57	177	182	102	#B1B666
58	175	180	101	#AFB465
59	174	179	100	#AEB364
60	173	178	100	#ADB264
61	172	177	99	#ACB163
62	170	175	98	#AAAF62
63	168	173	97	#A8AD61
64	166	171	96	#A6AB60
65	165	170	95	#A5AA5F
66	164	169	95	#A4A95F
67	163	168	94	#A3A85E
68	161	166	93	#A1A65D
69	159	164	92	#9FA45C
70	158	162	91	#9EA25B
71	157	161	90	#9DA15A
72	155	159	89	#9B9F59
73	153	157	88	#999D58
74	151	155	87	#979B57
75	149	153	86	#959956
76	148	152	85	#949855
77	146	150	84	#929654
78	144	148	83	#909453
79	142	146	82	#8E9252
80	141	145	81	#8D9151
81	139	143	80	#8B8F50
82	137	141	79	#898D4F
83	135	139	78	#878B4E
84	133	137	77	#85894D
85	132	136	76	#84884C
86	130	134	75	#82864B
87	128	132	74	#80844A
88	126	130	73	#7E8249
89	120	123	69	#787B45
90	118	121	68	#767944
91	115	118	66	#737642
92	113	116	65	#717441
93	111	114	64	#6F7240
94	106	109	61	#6A6D3D
95	104	107	60	#686B3C
96	102	105	59	#66693B
97	99	102	57	#636639
98	97	100	56	#616438
99	95	98	55	#5F6237
100	90	93	52	#5A5D34
101	80	82	46	#50522E
102	73	75	42	#494B2A
103	71	73	41	#474929
104	66	68	38	#424426
105	64	66	37	#404225
106	57	59	33	#393B21
107	40	41	23	#282917
108	33	34	19	#212213
109	187	192	108	#BBC06C
110	185	190	107	#B9BE6B
111	178	183	103	#B2B767
112	176	181	102	#B0B566
113	171	176	99	#ABB063
114	169	174	98	#A9AE62
115	162	167	94	#A2A75E
116	160	165	93	#A0A55D
117	156	160	90	#9CA05A
118	154	158	89	#9A9E59
119	147	151	85	#939755
120	145	149	84	#919554
121	140	144	81	#8C9051
122	138	142	80	#8A8E50
123	136	140	79	#888C4F
124	131	135	76	#83874C
125	129	133	75	#81854B
126	124	128	72	#7C8048
127	121	124	70	#797C46
128	116	119	67	#747743
129	114	117	66	#727542
