member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
184	bitmap	biglight	0			bitmaps/00184_biglight.png
184	bitmap	biglight	0	284	BITD	raw_chunks/00184_biglight_284_BITD.bin
185	text	theater.room	0	240	STXT	text/00185_theater.room_stxt_0.txt
185	text	theater.room	0	240	STXT	raw_chunks/00185_theater.room_240_STXT.bin
187	bitmap	theaterroom_easter	0			bitmaps/00187_theaterroom_easter.png
187	bitmap	theaterroom_easter	0	312	BITD	raw_chunks/00187_theaterroom_easter_312_BITD.bin
189	bitmap	light6b	0			bitmaps/00189_light6b.png
189	bitmap	light6b	0	308	BITD	raw_chunks/00189_light6b_308_BITD.bin
190	bitmap	light5b	0			bitmaps/00190_light5b.png
190	bitmap	light5b	0	306	BITD	raw_chunks/00190_light5b_306_BITD.bin
191	bitmap	light4b	0			bitmaps/00191_light4b.png
191	bitmap	light4b	0	304	BITD	raw_chunks/00191_light4b_304_BITD.bin
192	bitmap	light3b	0			bitmaps/00192_light3b.png
192	bitmap	light3b	0	302	BITD	raw_chunks/00192_light3b_302_BITD.bin
193	bitmap	light2b	0			bitmaps/00193_light2b.png
193	bitmap	light2b	0	300	BITD	raw_chunks/00193_light2b_300_BITD.bin
194	bitmap	light1b	0			bitmaps/00194_light1b.png
194	bitmap	light1b	0	298	BITD	raw_chunks/00194_light1b_298_BITD.bin
196	text	thchair1.props	0	294	STXT	text/00196_thchair1.props_stxt_0.txt
196	text	thchair1.props	0	294	STXT	raw_chunks/00196_thchair1.props_294_STXT.bin
197	bitmap	ad_pixel	0			bitmaps/00197_ad_pixel.png
197	bitmap	ad_pixel	0	292	BITD	raw_chunks/00197_ad_pixel_292_BITD.bin
199	bitmap	adframe_theatre	0			bitmaps/00199_adframe_theatre.png
199	bitmap	adframe_theatre	0	288	BITD	raw_chunks/00199_adframe_theatre_288_BITD.bin
200	bitmap	light	0			bitmaps/00200_light.png
200	bitmap	light	0	286	BITD	raw_chunks/00200_light_286_BITD.bin
204	bitmap	hiliter_pub	0			bitmaps/00204_hiliter_pub.png
204	bitmap	hiliter_pub	0	279	BITD	raw_chunks/00204_hiliter_pub_279_BITD.bin
206	bitmap	stairgripthing	0			bitmaps/00206_stairgripthing.png
206	bitmap	stairgripthing	0	276	BITD	raw_chunks/00206_stairgripthing_276_BITD.bin
207	bitmap	door2	0			bitmaps/00207_door2.png
207	bitmap	door2	0	274	BITD	raw_chunks/00207_door2_274_BITD.bin
208	bitmap	door1	0			bitmaps/00208_door1.png
208	bitmap	door1	0	272	BITD	raw_chunks/00208_door1_272_BITD.bin
209	bitmap	mic_sd	0			bitmaps/00209_mic_sd.png
209	bitmap	mic_sd	0	270	BITD	raw_chunks/00209_mic_sd_270_BITD.bin
210	bitmap	mic_a_0_0_0	0			bitmaps/00210_mic_a_0_0_0.png
210	bitmap	mic_a_0_0_0	0	268	BITD	raw_chunks/00210_mic_a_0_0_0_268_BITD.bin
211	bitmap	thchair1_sd	0			bitmaps/00211_thchair1_sd.png
211	bitmap	thchair1_sd	0	266	BITD	raw_chunks/00211_thchair1_sd_266_BITD.bin
212	bitmap	thchair2_a_0_2_0	0			bitmaps/00212_thchair2_a_0_2_0.png
212	bitmap	thchair2_a_0_2_0	0	264	BITD	raw_chunks/00212_thchair2_a_0_2_0_264_BITD.bin
213	text	theater_furniture memberaliases	0	262	STXT	text/00213_theater_furniture_memberaliases_stxt_0.txt
213	text	theater_furniture memberaliases	0	262	STXT	raw_chunks/00213_theater_furniture_memberaliases_262_STXT.bin
214	bitmap	thchair1_b_0_0_0	0			bitmaps/00214_thchair1_b_0_0_0.png
214	bitmap	thchair1_b_0_0_0	0	260	BITD	raw_chunks/00214_thchair1_b_0_0_0_260_BITD.bin
215	bitmap	thchair1_a_0_0_0	0			bitmaps/00215_thchair1_a_0_0_0.png
215	bitmap	thchair1_a_0_0_0	0	258	BITD	raw_chunks/00215_thchair1_a_0_0_0_258_BITD.bin
216	bitmap	stairs mask	0			bitmaps/00216_stairs_mask.png
216	bitmap	stairs mask	0	256	BITD	raw_chunks/00216_stairs_mask_256_BITD.bin
217	bitmap	balcony_mask2	0			bitmaps/00217_balcony_mask2.png
217	bitmap	balcony_mask2	0	254	BITD	raw_chunks/00217_balcony_mask2_254_BITD.bin
218	bitmap	stairs_shadow	0			bitmaps/00218_stairs_shadow.png
218	bitmap	stairs_shadow	0	252	BITD	raw_chunks/00218_stairs_shadow_252_BITD.bin
219	bitmap	stage_shadow	0			bitmaps/00219_stage_shadow.png
219	bitmap	stage_shadow	0	250	BITD	raw_chunks/00219_stage_shadow_250_BITD.bin
220	bitmap	balcony_mask	0			bitmaps/00220_balcony_mask.png
220	bitmap	balcony_mask	0	248	BITD	raw_chunks/00220_balcony_mask_248_BITD.bin
221	bitmap	stage_mask2	0			bitmaps/00221_stage_mask2.png
221	bitmap	stage_mask2	0	246	BITD	raw_chunks/00221_stage_mask2_246_BITD.bin
222	bitmap	stage_mask1	0			bitmaps/00222_stage_mask1.png
222	bitmap	stage_mask1	0	244	BITD	raw_chunks/00222_stage_mask1_244_BITD.bin
223	bitmap	upper_mask_easter	0			bitmaps/00223_upper_mask_easter.png
223	bitmap	upper_mask_easter	0	242	BITD	raw_chunks/00223_upper_mask_easter_242_BITD.bin
