index	r	g	b	hex
0	255	255	255	#FFFFFF
1	6	5	4	#060504
2	7	6	5	#070605
3	66	51	40	#423328
4	54	42	33	#362A21
5	42	33	26	#2A211A
6	37	29	23	#251D17
7	24	19	15	#18130F
8	25	20	16	#191410
9	20	16	13	#14100D
10	119	91	72	#775B48
11	116	89	70	#745946
12	106	81	64	#6A5140
13	101	77	61	#654D3D
14	91	70	55	#5B4637
15	86	66	52	#564234
16	81	62	49	#513E31
17	115	88	70	#735846
18	112	86	68	#705644
19	110	85	67	#6E5543
20	109	84	66	#6D5442
21	104	80	63	#68503F
22	94	72	57	#5E4839
23	89	68	54	#594436
24	79	61	48	#4F3D30
25	74	57	45	#4A392D
26	64	49	39	#403127
27	61	47	37	#3D2F25
28	56	43	34	#382B22
29	100	77	61	#644D3D
30	77	59	47	#4D3B2F
31	31	24	19	#1F1813
32	70	54	43	#46362B
33	52	40	32	#342820
34	39	30	24	#271E18
35	50	39	31	#32271F
36	45	35	28	#2D231C
37	40	31	25	#281F19
38	32	25	20	#201914
39	27	21	17	#1B1511
40	14	11	9	#0E0B09
41	15	12	10	#0F0C0A
42	96	73	58	#60493A
43	84	64	51	#544033
44	71	54	43	#47362B
45	60	46	37	#3C2E25
46	47	36	29	#2F241D
47	21	16	13	#15100D
48	35	27	22	#231B16
49	22	17	14	#16110E
50	29	22	18	#1D1612
51	16	12	10	#100C0A
52	17	13	11	#110D0B
53	9	7	6	#090706
54	10	8	7	#0A0807
55	4	3	3	#040303
56	5	4	4	#050404
57	2	2	2	#020202
58	1	1	1	#010101
59	12	10	8	#0C0A08
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
