member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
186	bitmap	elementti	0			bitmaps/00186_elementti.png
186	bitmap	elementti	0	574	BITD	raw_chunks/00186_elementti_574_BITD.bin
228	bitmap	door1	0			bitmaps/00228_door1.png
228	bitmap	door1	0	541	BITD	raw_chunks/00228_door1_541_BITD.bin
272	bitmap	mic_a_0_0_0	0			bitmaps/00272_mic_a_0_0_0.png
272	bitmap	mic_a_0_0_0	0	537	BITD	raw_chunks/00272_mic_a_0_0_0_537_BITD.bin
273	bitmap	pumpkinlight	0			bitmaps/00273_pumpkinlight.png
273	bitmap	pumpkinlight	0	566	BITD	raw_chunks/00273_pumpkinlight_566_BITD.bin
274	bitmap	light2	0			bitmaps/00274_light2.png
274	bitmap	light2	0	563	BITD	raw_chunks/00274_light2_563_BITD.bin
275	bitmap	adframe_theatre	0			bitmaps/00275_adframe_theatre.png
275	bitmap	adframe_theatre	0	568	BITD	raw_chunks/00275_adframe_theatre_568_BITD.bin
276	bitmap	light	0			bitmaps/00276_light.png
276	bitmap	light	0	561	BITD	raw_chunks/00276_light_561_BITD.bin
277	bitmap	halloweenroom	0			bitmaps/00277_halloweenroom.png
277	bitmap	halloweenroom	0	559	BITD	raw_chunks/00277_halloweenroom_559_BITD.bin
280	bitmap	halloweenposter	0			bitmaps/00280_halloweenposter.png
280	bitmap	halloweenposter	0	555	BITD	raw_chunks/00280_halloweenposter_555_BITD.bin
282	bitmap	halloweenposter2	0			bitmaps/00282_halloweenposter2.png
282	bitmap	halloweenposter2	0	551	BITD	raw_chunks/00282_halloweenposter2_551_BITD.bin
284	bitmap	hiliter_pub	0			bitmaps/00284_hiliter_pub.png
284	bitmap	hiliter_pub	0	548	BITD	raw_chunks/00284_hiliter_pub_548_BITD.bin
288	bitmap	thchair1_sd	0			bitmaps/00288_thchair1_sd.png
288	bitmap	thchair1_sd	0	533	BITD	raw_chunks/00288_thchair1_sd_533_BITD.bin
289	bitmap	door2	0			bitmaps/00289_door2.png
289	bitmap	door2	0	543	BITD	raw_chunks/00289_door2_543_BITD.bin
290	bitmap	mic_sd	0			bitmaps/00290_mic_sd.png
290	bitmap	mic_sd	0	539	BITD	raw_chunks/00290_mic_sd_539_BITD.bin
300	bitmap	stairgripthing	0			bitmaps/00300_stairgripthing.png
300	bitmap	stairgripthing	0	545	BITD	raw_chunks/00300_stairgripthing_545_BITD.bin
319	bitmap	stage_mask1	0			bitmaps/00319_stage_mask1.png
319	bitmap	stage_mask1	0	509	BITD	raw_chunks/00319_stage_mask1_509_BITD.bin
322	text	theater.room	0	576	STXT	text/00322_theater.room_stxt_0.txt
322	text	theater.room	0	576	STXT	raw_chunks/00322_theater.room_576_STXT.bin
342	bitmap	ad_pixel	0			bitmaps/00342_ad_pixel.png
342	bitmap	ad_pixel	0	572	BITD	raw_chunks/00342_ad_pixel_572_BITD.bin
343	bitmap	thchair1_b_0_0_0	0			bitmaps/00343_thchair1_b_0_0_0.png
343	bitmap	thchair1_b_0_0_0	0	525	BITD	raw_chunks/00343_thchair1_b_0_0_0_525_BITD.bin
345	bitmap	stairs_shadow	0			bitmaps/00345_stairs_shadow.png
345	bitmap	stairs_shadow	0	517	BITD	raw_chunks/00345_stairs_shadow_517_BITD.bin
361	bitmap	stage_shadow	0			bitmaps/00361_stage_shadow.png
361	bitmap	stage_shadow	0	515	BITD	raw_chunks/00361_stage_shadow_515_BITD.bin
363	bitmap	stage_mask2	0			bitmaps/00363_stage_mask2.png
363	bitmap	stage_mask2	0	511	BITD	raw_chunks/00363_stage_mask2_511_BITD.bin
392	bitmap	upper_mask	0			bitmaps/00392_upper_mask.png
392	bitmap	upper_mask	0	507	BITD	raw_chunks/00392_upper_mask_507_BITD.bin
394	bitmap	balcony_mask	0			bitmaps/00394_balcony_mask.png
394	bitmap	balcony_mask	0	513	BITD	raw_chunks/00394_balcony_mask_513_BITD.bin
401	bitmap	thchair1_a_0_0_0	0			bitmaps/00401_thchair1_a_0_0_0.png
401	bitmap	thchair1_a_0_0_0	0	523	BITD	raw_chunks/00401_thchair1_a_0_0_0_523_BITD.bin
407	bitmap	stairs mask	0			bitmaps/00407_stairs_mask.png
407	bitmap	stairs mask	0	521	BITD	raw_chunks/00407_stairs_mask_521_BITD.bin
455	bitmap	thchair2_a_0_2_0	0			bitmaps/00455_thchair2_a_0_2_0.png
455	bitmap	thchair2_a_0_2_0	0	531	BITD	raw_chunks/00455_thchair2_a_0_2_0_531_BITD.bin
457	bitmap	lightMask	0			bitmaps/00457_lightMask.png
457	bitmap	lightMask	0	505	BITD	raw_chunks/00457_lightMask_505_BITD.bin
