index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	72	1	4	#480104
3	91	2	5	#5B0205
4	137	23	31	#89171F
5	92	15	21	#5C0F15
6	73	12	17	#490C11
7	0	0	181	#0000B5
8	55	77	167	#374DA7
9	38	53	112	#263570
10	28	47	120	#1C2F78
11	19	32	81	#132051
12	12	20	51	#0C1433
13	18	30	75	#121E4B
14	8	32	88	#082058
15	19	53	132	#133584
16	17	39	89	#112759
17	63	92	159	#3F5C9F
18	80	108	171	#506CAB
19	152	183	255	#98B7FF
20	130	145	179	#8291B3
21	202	217	251	#CAD9FB
22	161	173	198	#A1ADC6
23	140	148	153	#8C9499
24	160	172	179	#A0ACB3
25	74	110	128	#4A6E80
26	39	53	60	#27353C
27	60	70	75	#3C464B
28	75	79	81	#4B4F51
29	63	102	121	#3F6679
30	50	81	96	#325160
31	57	88	102	#395866
32	65	96	111	#41606F
33	98	136	154	#62889A
34	14	57	75	#0E394B
35	58	92	106	#3A5C6A
36	37	57	65	#253941
37	31	47	54	#1F2F36
38	17	69	88	#114558
39	46	83	97	#2E5361
40	40	70	81	#284651
41	15	81	97	#0F5161
42	185	217	212	#B9D9D4
43	0	32	0	#002000
44	3	72	0	#034800
45	16	128	0	#108000
46	58	193	43	#3AC12B
47	71	158	52	#479E34
48	96	168	80	#60A850
49	67	117	56	#437538
50	132	209	115	#84D173
51	20	29	12	#141D0C
52	211	202	19	#D3CA13
53	204	194	143	#CCC28F
54	204	190	129	#CCBE81
55	255	238	162	#FFEEA2
56	163	154	115	#A39A73
57	150	141	108	#968D6C
58	98	92	71	#625C47
59	217	205	164	#D9CDA4
60	181	169	130	#B5A982
61	156	145	112	#9C9170
62	85	79	61	#554F3D
63	203	189	147	#CBBD93
64	127	119	92	#7F775C
65	241	237	225	#F1EDE1
66	199	176	117	#C7B075
67	223	216	199	#DFD8C7
68	187	180	164	#BBB4A4
69	193	159	92	#C19F5C
70	223	185	119	#DFB977
71	178	148	95	#B2945F
72	133	111	71	#856F47
73	150	112	52	#967034
74	188	141	66	#BC8D42
75	158	126	71	#9E7E47
76	231	226	218	#E7E2DA
77	145	98	32	#916220
78	183	122	42	#B77A2A
79	155	105	36	#9B6924
80	97	66	24	#614218
81	76	52	19	#4C3413
82	127	87	32	#7F5720
83	63	43	16	#3F2B10
84	255	186	90	#FFBA5A
85	147	95	33	#935F21
86	111	73	25	#6F4919
87	101	74	40	#654A28
88	134	98	54	#866236
89	223	196	162	#DFC4A2
90	255	138	12	#FF8A0C
91	143	91	31	#8F5B1F
92	198	136	79	#C6884F
93	154	71	0	#9A4700
94	88	43	13	#582B0D
95	114	57	18	#723912
96	99	50	17	#633211
97	96	38	0	#602600
98	178	85	25	#B25519
99	133	65	21	#854115
100	99	49	16	#633110
101	65	32	11	#41200B
102	147	84	43	#93542B
103	224	71	0	#E04700
104	130	28	0	#821C00
105	91	20	0	#5B1400
106	145	46	16	#912E10
107	152	51	23	#983317
108	108	25	4	#6C1904
109	87	22	7	#571607
110	84	16	10	#54100A
111	105	21	13	#69150D
112	76	18	13	#4C120D
113	62	13	11	#3E0D0B
114	206	0	0	#CE0000
115	10	0	0	#0A0000
116	243	243	243	#F3F3F3
117	235	235	235	#EBEBEB
118	210	210	210	#D2D2D2
119	194	194	194	#C2C2C2
120	177	177	177	#B1B1B1
121	162	162	162	#A2A2A2
122	97	97	97	#616161
123	52	52	52	#343434
124	43	43	43	#2B2B2B
125	32	32	32	#202020
126	23	23	23	#171717
127	13	13	13	#0D0D0D
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
