member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
17	bitmap	stage_shadow	0			bitmaps/00017_stage_shadow.png
17	bitmap	stage_shadow	0	292	BITD	raw_chunks/00017_stage_shadow_292_BITD.bin
18	bitmap	stairs_shadow	0			bitmaps/00018_stairs_shadow.png
18	bitmap	stairs_shadow	0	294	BITD	raw_chunks/00018_stairs_shadow_294_BITD.bin
20	bitmap	stairs mask	0			bitmaps/00020_stairs_mask.png
20	bitmap	stairs mask	0	298	BITD	raw_chunks/00020_stairs_mask_298_BITD.bin
24	text	theater_furniture memberaliases	0	306	STXT	text/00024_theater_furniture_memberaliases_stxt_0.txt
24	text	theater_furniture memberaliases	0	306	STXT	raw_chunks/00024_theater_furniture_memberaliases_306_STXT.bin
26	bitmap	thchair1_sd	0			bitmaps/00026_thchair1_sd.png
26	bitmap	thchair1_sd	0	310	BITD	raw_chunks/00026_thchair1_sd_310_BITD.bin
29	bitmap	mic_sd	0			bitmaps/00029_mic_sd.png
29	bitmap	mic_sd	0	316	BITD	raw_chunks/00029_mic_sd_316_BITD.bin
30	bitmap	door1	0			bitmaps/00030_door1.png
30	bitmap	door1	0	318	BITD	raw_chunks/00030_door1_318_BITD.bin
31	bitmap	door2	0			bitmaps/00031_door2.png
31	bitmap	door2	0	320	BITD	raw_chunks/00031_door2_320_BITD.bin
32	bitmap	stairgripthing	0			bitmaps/00032_stairgripthing.png
32	bitmap	stairgripthing	0	322	BITD	raw_chunks/00032_stairgripthing_322_BITD.bin
34	bitmap	hiliter_pub	0			bitmaps/00034_hiliter_pub.png
34	bitmap	hiliter_pub	0	325	BITD	raw_chunks/00034_hiliter_pub_325_BITD.bin
69	bitmap	camera1	0			bitmaps/00069_camera1.png
69	bitmap	camera1	0	364	BITD	raw_chunks/00069_camera1_364_BITD.bin
71	bitmap	liht5	0			bitmaps/00071_liht5.png
71	bitmap	liht5	0	360	BITD	raw_chunks/00071_liht5_360_BITD.bin
81	bitmap	camera3	0			bitmaps/00081_camera3.png
81	bitmap	camera3	0	378	BITD	raw_chunks/00081_camera3_378_BITD.bin
100	bitmap	adframe_theatre	0			bitmaps/00100_adframe_theatre.png
100	bitmap	adframe_theatre	0	340	BITD	raw_chunks/00100_adframe_theatre_340_BITD.bin
101	bitmap	teatteri	0			bitmaps/00101_teatteri.png
101	bitmap	teatteri	0	380	BITD	raw_chunks/00101_teatteri_380_BITD.bin
107	bitmap	mic_a_0_0_0	0			bitmaps/00107_mic_a_0_0_0.png
107	bitmap	mic_a_0_0_0	0	314	BITD	raw_chunks/00107_mic_a_0_0_0_314_BITD.bin
109	bitmap	ad_pixel	0			bitmaps/00109_ad_pixel.png
109	bitmap	ad_pixel	0	342	BITD	raw_chunks/00109_ad_pixel_342_BITD.bin
117	bitmap	fence_short	0			bitmaps/00117_fence_short.png
117	bitmap	fence_short	0	372	BITD	raw_chunks/00117_fence_short_372_BITD.bin
118	bitmap	fence_long	0			bitmaps/00118_fence_long.png
118	bitmap	fence_long	0	370	BITD	raw_chunks/00118_fence_long_370_BITD.bin
119	bitmap	fence_corner	0			bitmaps/00119_fence_corner.png
119	bitmap	fence_corner	0	368	BITD	raw_chunks/00119_fence_corner_368_BITD.bin
120	bitmap	camera2	0			bitmaps/00120_camera2.png
120	bitmap	camera2	0	366	BITD	raw_chunks/00120_camera2_366_BITD.bin
124	bitmap	liht4	0			bitmaps/00124_liht4.png
124	bitmap	liht4	0	358	BITD	raw_chunks/00124_liht4_358_BITD.bin
125	bitmap	liht3	0			bitmaps/00125_liht3.png
125	bitmap	liht3	0	356	BITD	raw_chunks/00125_liht3_356_BITD.bin
126	bitmap	liht2	0			bitmaps/00126_liht2.png
126	bitmap	liht2	0	354	BITD	raw_chunks/00126_liht2_354_BITD.bin
127	bitmap	liht	0			bitmaps/00127_liht.png
127	bitmap	liht	0	352	BITD	raw_chunks/00127_liht_352_BITD.bin
129	bitmap	biglight	0			bitmaps/00129_biglight.png
129	bitmap	biglight	0	348	BITD	raw_chunks/00129_biglight_348_BITD.bin
130	text	thchair1.props	0	304	STXT	text/00130_thchair1.props_stxt_0.txt
130	text	thchair1.props	0	304	STXT	raw_chunks/00130_thchair1.props_304_STXT.bin
138	text	theater.room	0	336	STXT	text/00138_theater.room_stxt_0.txt
138	text	theater.room	0	336	STXT	raw_chunks/00138_theater.room_336_STXT.bin
151	bitmap	stage_mask1	0			bitmaps/00151_stage_mask1.png
151	bitmap	stage_mask1	0	286	BITD	raw_chunks/00151_stage_mask1_286_BITD.bin
154	bitmap	light	0			bitmaps/00154_light.png
154	bitmap	light	0	334	BITD	raw_chunks/00154_light_334_BITD.bin
172	bitmap	stage_mask2	0			bitmaps/00172_stage_mask2.png
172	bitmap	stage_mask2	0	288	BITD	raw_chunks/00172_stage_mask2_288_BITD.bin
190	bitmap	thchair2_a_0_2_0	0			bitmaps/00190_thchair2_a_0_2_0.png
190	bitmap	thchair2_a_0_2_0	0	308	BITD	raw_chunks/00190_thchair2_a_0_2_0_308_BITD.bin
192	bitmap	thchair1_a_0_0_0	0			bitmaps/00192_thchair1_a_0_0_0.png
192	bitmap	thchair1_a_0_0_0	0	300	BITD	raw_chunks/00192_thchair1_a_0_0_0_300_BITD.bin
193	bitmap	balcony_mask2	0			bitmaps/00193_balcony_mask2.png
193	bitmap	balcony_mask2	0	296	BITD	raw_chunks/00193_balcony_mask2_296_BITD.bin
194	bitmap	balcony_mask	0			bitmaps/00194_balcony_mask.png
194	bitmap	balcony_mask	0	290	BITD	raw_chunks/00194_balcony_mask_290_BITD.bin
199	bitmap	esirippu	0			bitmaps/00199_esirippu.png
199	bitmap	esirippu	0	330	BITD	raw_chunks/00199_esirippu_330_BITD.bin
202	bitmap	thchair1_b_0_0_0	0			bitmaps/00202_thchair1_b_0_0_0.png
202	bitmap	thchair1_b_0_0_0	0	302	BITD	raw_chunks/00202_thchair1_b_0_0_0_302_BITD.bin
223	bitmap	big_spotlight	0			bitmaps/00223_big_spotlight.png
223	bitmap	big_spotlight	0	346	BITD	raw_chunks/00223_big_spotlight_346_BITD.bin
269	bitmap	upper_mask	0			bitmaps/00269_upper_mask.png
269	bitmap	upper_mask	0	284	BITD	raw_chunks/00269_upper_mask_284_BITD.bin
