index	r	g	b	hex
0	255	255	255	#FFFFFF
1	229	242	255	#E5F2FF
2	234	228	230	#EAE4E6
3	225	225	225	#E1E1E1
4	221	221	221	#DDDDDD
5	177	227	245	#B1E3F5
6	177	223	246	#B1DFF6
7	215	215	215	#D7D7D7
8	255	193	174	#FFC1AE
9	207	207	207	#CFCFCF
10	198	198	198	#C6C6C6
11	136	192	254	#88C0FE
12	187	187	187	#BBBBBB
13	98	208	246	#62D0F6
14	182	182	182	#B6B6B6
15	179	230	128	#B3E680
16	177	177	177	#B1B1B1
17	227	166	132	#E3A684
18	175	175	173	#AFAFAD
19	174	174	174	#AEAEAE
20	227	176	115	#E3B073
21	171	171	171	#ABABAB
22	189	157	162	#BD9DA2
23	166	166	166	#A6A6A6
24	155	155	155	#9B9B9B
25	191	169	101	#BFA965
26	191	172	91	#BFAC5B
27	184	146	109	#B8926D
28	51	146	242	#3392F2
29	136	143	159	#888F9F
30	194	156	79	#C29C4F
31	151	139	132	#978B84
32	140	140	140	#8C8C8C
33	139	139	139	#8B8B8B
34	191	148	69	#BF9445
35	136	136	136	#888888
36	134	172	96	#86AC60
37	132	132	132	#848484
38	17	161	213	#11A1D5
39	34	96	255	#2260FF
40	227	123	34	#E37B22
41	7	159	212	#079FD4
42	0	151	223	#0097DF
43	124	124	124	#7C7C7C
44	0	159	212	#009FD4
45	123	123	123	#7B7B7B
46	241	87	40	#F15728
47	0	157	211	#009DD3
48	57	111	198	#396FC6
49	0	155	209	#009BD1
50	113	152	94	#71985E
51	129	118	111	#81766F
52	119	119	119	#777777
53	189	126	41	#BD7E29
54	227	114	14	#E3720E
55	106	113	135	#6A7187
56	45	116	180	#2D74B4
57	12	135	188	#0C87BC
58	2	136	193	#0288C1
59	18	124	177	#127CB1
60	48	96	174	#3060AE
61	48	95	173	#305FAD
62	48	94	170	#305EAA
63	48	92	167	#305CA7
64	0	123	184	#007BB8
65	102	102	102	#666666
66	23	115	168	#1773A8
67	2	128	172	#0280AC
68	152	106	41	#986A29
69	25	105	169	#1969A9
70	48	89	161	#3059A1
71	21	106	171	#156AAB
72	26	103	168	#1A67A8
73	29	100	167	#1D64A7
74	23	103	168	#1767A8
75	16	107	171	#106BAB
76	34	96	163	#2260A3
77	18	105	170	#1269AA
78	27	104	157	#1B689D
79	40	89	158	#28599E
80	184	0	101	#B80065
81	42	86	157	#2A569D
82	48	84	152	#305498
83	42	85	155	#2A559B
84	0	109	173	#006DAD
85	96	92	92	#605C5C
86	45	82	152	#2D5298
87	196	82	0	#C45200
88	42	83	151	#2A5397
89	91	91	91	#5B5B5B
90	172	0	100	#AC0064
91	47	80	145	#2F5091
92	44	81	147	#2C5193
93	85	114	70	#557246
94	89	89	89	#595959
95	71	145	51	#479133
96	1	88	177	#0158B1
97	0	113	153	#007199
98	180	76	8	#B44C08
99	40	80	144	#285090
100	76	83	104	#4C5368
101	60	73	130	#3C4982
102	47	76	137	#2F4C89
103	36	87	137	#245789
104	164	0	95	#A4005F
105	66	86	99	#425663
106	38	76	137	#264C89
107	47	72	131	#2F4883
108	83	83	83	#535353
109	48	69	123	#30457B
110	47	68	123	#2F447B
111	117	82	38	#755226
112	146	0	85	#920055
113	47	65	118	#2F4176
114	228	0	0	#E40000
115	32	70	125	#20467D
116	42	65	118	#2A4176
117	37	66	119	#254277
118	58	75	88	#3A4B58
119	49	61	110	#313D6E
120	34	66	119	#224277
121	49	60	108	#313C6C
122	34	65	118	#224176
123	115	76	25	#734C19
124	72	72	72	#484848
125	33	65	117	#214175
126	33	64	115	#214073
127	32	64	116	#204074
128	25	66	121	#194279
129	32	62	112	#203E70
130	24	63	119	#183F77
131	0	68	138	#00448A
132	140	65	0	#8C4100
133	129	0	75	#81004B
134	68	68	68	#444444
135	32	61	111	#203D6F
136	70	65	65	#464141
137	53	109	38	#356D26
138	31	60	109	#1F3C6D
139	51	68	78	#33444E
140	31	59	107	#1F3B6B
141	40	110	43	#286E2B
142	30	58	105	#1E3A69
143	120	0	70	#780046
144	29	56	102	#1D3866
145	112	71	0	#704700
146	28	55	98	#1C3762
147	114	0	66	#720042
148	60	60	60	#3C3C3C
149	115	0	63	#73003F
150	28	53	96	#1C3560
151	143	3	29	#8F031D
152	117	58	0	#753A00
153	109	0	64	#6D0040
154	27	52	94	#1B345E
155	27	51	92	#1B335C
156	106	0	62	#6A003E
157	26	50	90	#1A325A
158	40	102	23	#286617
159	26	50	89	#1A3259
160	20	55	90	#14375A
161	19	55	90	#13375A
162	26	49	88	#1A3158
163	24	49	89	#183159
164	19	54	89	#133659
165	18	53	89	#123559
166	25	48	86	#193056
167	17	53	88	#113558
168	17	52	87	#113457
169	51	51	51	#333333
170	16	51	86	#103356
171	15	51	86	#0F3356
172	95	0	55	#5F0037
173	70	0	80	#460050
174	15	50	85	#0F3255
175	0	48	97	#003061
176	30	82	32	#1E5220
177	92	51	0	#5C3300
178	16	57	70	#103946
179	16	48	79	#10304F
180	90	0	52	#5A0034
181	49	45	45	#312D2D
182	87	0	51	#570033
183	84	53	0	#543500
184	88	43	0	#582B00
185	12	51	68	#0C3344
186	80	0	47	#50002F
187	5	42	80	#052A50
188	5	42	79	#052A4F
189	12	49	63	#0C313F
190	37	38	48	#252630
191	30	76	17	#1E4C11
192	15	41	67	#0F2943
193	4	41	78	#04294E
194	28	79	15	#1C4F0F
195	3	40	78	#03284E
196	13	40	67	#0D2843
197	3	40	77	#03284D
198	5	40	74	#05284A
199	5	40	73	#052849
200	2	39	76	#02274C
201	12	38	65	#0C2641
202	4	39	72	#042748
203	1	38	75	#01264B
204	0	40	74	#00284A
205	0	38	76	#00264C
206	11	38	64	#0B2640
207	3	38	72	#032648
208	71	0	41	#470029
209	20	35	57	#142339
210	11	37	64	#0B2540
211	3	38	71	#032647
212	0	37	75	#00254B
213	2	37	70	#022546
214	25	58	25	#193A19
215	69	38	0	#452600
216	1	36	70	#012446
217	1	36	69	#012445
218	0	35	69	#002345
219	68	31	0	#441F00
220	0	36	60	#00243C
221	4	31	60	#041F3C
222	4	31	59	#041F3B
223	3	31	58	#031F3A
224	21	59	11	#153B0B
225	4	30	55	#041E37
226	1	30	58	#011E3A
227	3	30	55	#031E37
228	29	29	29	#1D1D1D
229	1	29	57	#011D39
230	3	29	54	#031D36
231	0	28	56	#001C38
232	2	28	53	#021C35
233	30	26	26	#1E1A1A
234	56	21	4	#381504
235	19	43	19	#132B13
236	1	28	52	#011C34
237	0	26	52	#001A34
238	0	36	41	#002429
239	0	25	49	#001931
240	0	23	45	#00172D
241	40	0	22	#280016
242	42	16	3	#2A1003
243	25	10	13	#190A0D
244	27	0	15	#1B000F
245	0	19	21	#001315
246	10	10	10	#0A0A0A
247	0	14	15	#000E0F
248	0	13	14	#000D0E
249	0	12	12	#000C0C
250	0	13	8	#000D08
251	0	6	6	#000606
252	0	7	3	#000703
253	1	1	1	#010101
254	17	17	17	#111111
255	0	0	0	#000000
