member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
7	text	thchair6.props	0	331	STXT	text/00007_thchair6.props_stxt_0.txt
7	text	thchair6.props	0	331	STXT	raw_chunks/00007_thchair6.props_331_STXT.bin
13	bitmap	thchair4_a_0_0_0	0			bitmaps/00013_thchair4_a_0_0_0.png
13	bitmap	thchair4_a_0_0_0	0	305	BITD	raw_chunks/00013_thchair4_a_0_0_0_305_BITD.bin
22	bitmap	thchair4_sd	0			bitmaps/00022_thchair4_sd.png
22	bitmap	thchair4_sd	0	319	BITD	raw_chunks/00022_thchair4_sd_319_BITD.bin
24	text	theater_furniture memberaliases	0	261	STXT	text/00024_theater_furniture_memberaliases_stxt_0.txt
24	text	theater_furniture memberaliases	0	261	STXT	raw_chunks/00024_theater_furniture_memberaliases_261_STXT.bin
25	text	thchair5.props	0	329	STXT	text/00025_thchair5.props_stxt_0.txt
25	text	thchair5.props	0	329	STXT	raw_chunks/00025_thchair5.props_329_STXT.bin
26	bitmap	thchair1_sd	0			bitmaps/00026_thchair1_sd.png
26	bitmap	thchair1_sd	0	265	BITD	raw_chunks/00026_thchair1_sd_265_BITD.bin
27	bitmap	thchair5_sd	0			bitmaps/00027_thchair5_sd.png
27	bitmap	thchair5_sd	0	321	BITD	raw_chunks/00027_thchair5_sd_321_BITD.bin
29	bitmap	mic_sd	0			bitmaps/00029_mic_sd.png
29	bitmap	mic_sd	0	269	BITD	raw_chunks/00029_mic_sd_269_BITD.bin
30	bitmap	door1	0			bitmaps/00030_door1.png
30	bitmap	door1	0	271	BITD	raw_chunks/00030_door1_271_BITD.bin
31	bitmap	door2	0			bitmaps/00031_door2.png
31	bitmap	door2	0	273	BITD	raw_chunks/00031_door2_273_BITD.bin
37	bitmap	teatteri	0			bitmaps/00037_teatteri.png
37	bitmap	teatteri	0	283	BITD	raw_chunks/00037_teatteri_283_BITD.bin
40	bitmap	light	0			bitmaps/00040_light.png
40	bitmap	light	0	289	BITD	raw_chunks/00040_light_289_BITD.bin
61	text	thchair4.props	0	327	STXT	text/00061_thchair4.props_stxt_0.txt
61	text	thchair4.props	0	327	STXT	raw_chunks/00061_thchair4.props_327_STXT.bin
62	bitmap	thchair3_b_0_0_0	0			bitmaps/00062_thchair3_b_0_0_0.png
62	bitmap	thchair3_b_0_0_0	0	303	BITD	raw_chunks/00062_thchair3_b_0_0_0_303_BITD.bin
66	bitmap	thchair4_b_0_0_0	0			bitmaps/00066_thchair4_b_0_0_0.png
66	bitmap	thchair4_b_0_0_0	0	307	BITD	raw_chunks/00066_thchair4_b_0_0_0_307_BITD.bin
114	bitmap	thchair3_sd	0			bitmaps/00114_thchair3_sd.png
114	bitmap	thchair3_sd	0	317	BITD	raw_chunks/00114_thchair3_sd_317_BITD.bin
119	bitmap	kasvit	0			bitmaps/00119_kasvit.png
119	bitmap	kasvit	0	287	BITD	raw_chunks/00119_kasvit_287_BITD.bin
120	bitmap	esirippu	0			bitmaps/00120_esirippu.png
120	bitmap	esirippu	0	285	BITD	raw_chunks/00120_esirippu_285_BITD.bin
122	bitmap	hiliter_pub	0			bitmaps/00122_hiliter_pub.png
122	bitmap	hiliter_pub	0	278	BITD	raw_chunks/00122_hiliter_pub_278_BITD.bin
123	bitmap	stairgripthing	0			bitmaps/00123_stairgripthing.png
123	bitmap	stairgripthing	0	275	BITD	raw_chunks/00123_stairgripthing_275_BITD.bin
124	bitmap	mic_a_0_0_0	0			bitmaps/00124_mic_a_0_0_0.png
124	bitmap	mic_a_0_0_0	0	267	BITD	raw_chunks/00124_mic_a_0_0_0_267_BITD.bin
125	bitmap	thchair2_a_0_2_0	0			bitmaps/00125_thchair2_a_0_2_0.png
125	bitmap	thchair2_a_0_2_0	0	263	BITD	raw_chunks/00125_thchair2_a_0_2_0_263_BITD.bin
126	bitmap	thchair1_b_0_0_0	0			bitmaps/00126_thchair1_b_0_0_0.png
126	bitmap	thchair1_b_0_0_0	0	257	BITD	raw_chunks/00126_thchair1_b_0_0_0_257_BITD.bin
127	bitmap	thchair1_a_0_0_0	0			bitmaps/00127_thchair1_a_0_0_0.png
127	bitmap	thchair1_a_0_0_0	0	255	BITD	raw_chunks/00127_thchair1_a_0_0_0_255_BITD.bin
128	bitmap	stairs mask	0			bitmaps/00128_stairs_mask.png
128	bitmap	stairs mask	0	253	BITD	raw_chunks/00128_stairs_mask_253_BITD.bin
129	bitmap	balcony_mask2	0			bitmaps/00129_balcony_mask2.png
129	bitmap	balcony_mask2	0	251	BITD	raw_chunks/00129_balcony_mask2_251_BITD.bin
130	text	thchair1.props	0	259	STXT	text/00130_thchair1.props_stxt_0.txt
130	text	thchair1.props	0	259	STXT	raw_chunks/00130_thchair1.props_259_STXT.bin
131	bitmap	stairs_shadow	0			bitmaps/00131_stairs_shadow.png
131	bitmap	stairs_shadow	0	249	BITD	raw_chunks/00131_stairs_shadow_249_BITD.bin
132	bitmap	stage_shadow	0			bitmaps/00132_stage_shadow.png
132	bitmap	stage_shadow	0	247	BITD	raw_chunks/00132_stage_shadow_247_BITD.bin
133	bitmap	balcony_mask	0			bitmaps/00133_balcony_mask.png
133	bitmap	balcony_mask	0	245	BITD	raw_chunks/00133_balcony_mask_245_BITD.bin
134	bitmap	stage_mask2	0			bitmaps/00134_stage_mask2.png
134	bitmap	stage_mask2	0	243	BITD	raw_chunks/00134_stage_mask2_243_BITD.bin
135	bitmap	stage_mask1	0			bitmaps/00135_stage_mask1.png
135	bitmap	stage_mask1	0	241	BITD	raw_chunks/00135_stage_mask1_241_BITD.bin
136	bitmap	upper_mask	0			bitmaps/00136_upper_mask.png
136	bitmap	upper_mask	0	239	BITD	raw_chunks/00136_upper_mask_239_BITD.bin
138	text	theater.room	0	291	STXT	text/00138_theater.room_stxt_0.txt
138	text	theater.room	0	291	STXT	raw_chunks/00138_theater.room_291_STXT.bin
156	bitmap	thchair3_a_0_0_0	0			bitmaps/00156_thchair3_a_0_0_0.png
156	bitmap	thchair3_a_0_0_0	0	301	BITD	raw_chunks/00156_thchair3_a_0_0_0_301_BITD.bin
157	bitmap	thchair6_sd	0			bitmaps/00157_thchair6_sd.png
157	bitmap	thchair6_sd	0	323	BITD	raw_chunks/00157_thchair6_sd_323_BITD.bin
158	bitmap	ad_pixel	0			bitmaps/00158_ad_pixel.png
158	bitmap	ad_pixel	0	297	BITD	raw_chunks/00158_ad_pixel_297_BITD.bin
159	bitmap	thchair6_a_0_0_0	0			bitmaps/00159_thchair6_a_0_0_0.png
159	bitmap	thchair6_a_0_0_0	0	313	BITD	raw_chunks/00159_thchair6_a_0_0_0_313_BITD.bin
160	bitmap	thchair6_b_0_0_0	0			bitmaps/00160_thchair6_b_0_0_0.png
160	bitmap	thchair6_b_0_0_0	0	315	BITD	raw_chunks/00160_thchair6_b_0_0_0_315_BITD.bin
169	bitmap	adframe_theatre	0			bitmaps/00169_adframe_theatre.png
169	bitmap	adframe_theatre	0	293	BITD	raw_chunks/00169_adframe_theatre_293_BITD.bin
179	text	thchair3.props	0	325	STXT	text/00179_thchair3.props_stxt_0.txt
179	text	thchair3.props	0	325	STXT	raw_chunks/00179_thchair3.props_325_STXT.bin
183	bitmap	thchair5_a_0_0_0	0			bitmaps/00183_thchair5_a_0_0_0.png
183	bitmap	thchair5_a_0_0_0	0	309	BITD	raw_chunks/00183_thchair5_a_0_0_0_309_BITD.bin
184	bitmap	thchair5_b_0_0_0	0			bitmaps/00184_thchair5_b_0_0_0.png
184	bitmap	thchair5_b_0_0_0	0	311	BITD	raw_chunks/00184_thchair5_b_0_0_0_311_BITD.bin
