index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	1	#000001
3	0	21	200	#0015C8
4	0	38	255	#0026FF
5	223	225	235	#DFE1EB
6	158	164	182	#9EA4B6
7	23	72	136	#174888
8	47	109	190	#2F6DBE
9	114	175	255	#72AFFF
10	188	217	255	#BCD9FF
11	10	77	145	#0A4D91
12	52	124	197	#347CC5
13	46	108	171	#2E6CAB
14	58	128	197	#3A80C5
15	123	185	249	#7BB9F9
16	164	200	237	#A4C8ED
17	232	241	249	#E8F1F9
18	177	220	255	#B1DCFF
19	147	160	169	#93A0A9
20	45	84	104	#2D5468
21	53	65	71	#354147
22	172	187	195	#ACBBC3
23	15	34	42	#0F222A
24	24	47	57	#182F39
25	27	59	71	#1B3B47
26	38	73	86	#264956
27	225	249	255	#E1F9FF
28	202	241	235	#CAF1EB
29	52	92	5	#345C05
30	148	187	43	#94BB2B
31	185	183	38	#B9B726
32	255	255	107	#FFFF6B
33	255	255	175	#FFFFAF
34	255	255	250	#FFFFFA
35	255	216	0	#FFD800
36	225	213	152	#E1D598
37	225	208	135	#E1D087
38	176	165	118	#B0A576
39	160	149	110	#A0956E
40	93	87	64	#5D5740
41	255	252	241	#FFFCF1
42	82	75	53	#524B35
43	133	123	90	#857B5A
44	167	154	114	#A79A72
45	241	226	177	#F1E2B1
46	224	207	157	#E0CF9D
47	171	149	93	#AB955D
48	219	191	121	#DBBF79
49	248	240	219	#F8F0DB
50	165	133	68	#A58544
51	212	171	90	#D4AB5A
52	205	196	177	#CDC4B1
53	37	23	0	#251700
54	160	114	42	#A0722A
55	206	149	59	#CE953B
56	129	81	13	#81510D
57	71	42	3	#472A03
58	94	58	9	#5E3A09
59	101	63	10	#653F0A
60	129	81	15	#81510F
61	155	98	19	#9B6213
62	133	84	18	#855412
63	166	106	23	#A66A17
64	199	128	29	#C7801D
65	56	31	0	#381F00
66	157	94	19	#9D5E13
67	117	66	9	#754209
68	152	89	17	#985911
69	137	130	123	#89827B
70	218	143	75	#DA8F4B
71	255	188	124	#FFBC7C
72	215	117	45	#D7752D
73	117	47	0	#752F00
74	99	40	0	#632800
75	117	50	5	#753205
76	151	70	16	#974610
77	148	74	23	#944A17
78	99	39	0	#632700
79	140	58	5	#8C3A05
80	175	72	7	#AF4807
81	208	89	11	#D0590B
82	157	81	31	#9D511F
83	86	31	0	#561F00
84	58	18	0	#3A1200
85	95	25	0	#5F1900
86	154	35	0	#9A2300
87	163	41	7	#A32907
88	136	13	0	#880D00
89	158	27	10	#9E1B0A
90	238	77	56	#EE4D38
91	110	10	0	#6E0A00
92	84	6	0	#540600
93	106	5	0	#6A0500
94	255	0	0	#FF0000
95	173	0	0	#AD0000
96	95	0	0	#5F0000
97	89	0	0	#590000
98	81	0	0	#510000
99	71	1	0	#470100
100	66	0	0	#420000
101	52	0	0	#340000
102	159	4	4	#9F0404
103	187	9	9	#BB0909
104	225	25	25	#E11919
105	255	58	58	#FF3A3A
106	255	66	66	#FF4242
107	154	40	40	#9A2828
108	204	56	56	#CC3838
109	255	80	80	#FF5050
110	255	99	99	#FF6363
111	226	89	89	#E25959
112	157	66	64	#9D4240
113	255	122	122	#FF7A7A
114	255	157	157	#FF9D9D
115	255	162	162	#FFA2A2
116	255	242	242	#FFF2F2
117	255	247	247	#FFF7F7
118	252	252	252	#FCFCFC
119	232	232	232	#E8E8E8
120	213	213	213	#D5D5D5
121	194	194	194	#C2C2C2
122	175	175	175	#AFAFAF
123	153	153	153	#999999
124	96	96	96	#606060
125	57	57	57	#393939
126	18	18	18	#121212
127	7	7	7	#070707
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
