member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
38	bitmap	theaterroom_xmas	0			bitmaps/00038_theaterroom_xmas.png
38	bitmap	theaterroom_xmas	0	284	BITD	raw_chunks/00038_theaterroom_xmas_284_BITD.bin
71	bitmap	balcony_mask	0			bitmaps/00071_balcony_mask.png
71	bitmap	balcony_mask	0	247	BITD	raw_chunks/00071_balcony_mask_247_BITD.bin
102	bitmap	light	0			bitmaps/00102_light.png
102	bitmap	light	0	290	BITD	raw_chunks/00102_light_290_BITD.bin
103	bitmap	adframe_theatre	0			bitmaps/00103_adframe_theatre.png
103	bitmap	adframe_theatre	0	294	BITD	raw_chunks/00103_adframe_theatre_294_BITD.bin
109	bitmap	ad_pixel	0			bitmaps/00109_ad_pixel.png
109	bitmap	ad_pixel	0	298	BITD	raw_chunks/00109_ad_pixel_298_BITD.bin
112	bitmap	upper_mask_xmas	0			bitmaps/00112_upper_mask_xmas.png
112	bitmap	upper_mask_xmas	0	245	BITD	raw_chunks/00112_upper_mask_xmas_245_BITD.bin
114	bitmap	stairs_shadow	0			bitmaps/00114_stairs_shadow.png
114	bitmap	stairs_shadow	0	249	BITD	raw_chunks/00114_stairs_shadow_249_BITD.bin
115	bitmap	balcony_mask2	0			bitmaps/00115_balcony_mask2.png
115	bitmap	balcony_mask2	0	251	BITD	raw_chunks/00115_balcony_mask2_251_BITD.bin
116	bitmap	stairs mask	0			bitmaps/00116_stairs_mask.png
116	bitmap	stairs mask	0	253	BITD	raw_chunks/00116_stairs_mask_253_BITD.bin
117	bitmap	thchair1_a_0_0_0	0			bitmaps/00117_thchair1_a_0_0_0.png
117	bitmap	thchair1_a_0_0_0	0	255	BITD	raw_chunks/00117_thchair1_a_0_0_0_255_BITD.bin
118	bitmap	thchair1_b_0_0_0	0			bitmaps/00118_thchair1_b_0_0_0.png
118	bitmap	thchair1_b_0_0_0	0	257	BITD	raw_chunks/00118_thchair1_b_0_0_0_257_BITD.bin
120	text	theater_furniture memberaliases	0	259	STXT	text/00120_theater_furniture_memberaliases_stxt_0.txt
120	text	theater_furniture memberaliases	0	259	STXT	raw_chunks/00120_theater_furniture_memberaliases_259_STXT.bin
121	bitmap	thchair2_a_0_2_0	0			bitmaps/00121_thchair2_a_0_2_0.png
121	bitmap	thchair2_a_0_2_0	0	261	BITD	raw_chunks/00121_thchair2_a_0_2_0_261_BITD.bin
122	bitmap	thchair1_sd	0			bitmaps/00122_thchair1_sd.png
122	bitmap	thchair1_sd	0	263	BITD	raw_chunks/00122_thchair1_sd_263_BITD.bin
124	bitmap	mic_a_0_0_0	0			bitmaps/00124_mic_a_0_0_0.png
124	bitmap	mic_a_0_0_0	0	265	BITD	raw_chunks/00124_mic_a_0_0_0_265_BITD.bin
125	bitmap	mic_sd	0			bitmaps/00125_mic_sd.png
125	bitmap	mic_sd	0	267	BITD	raw_chunks/00125_mic_sd_267_BITD.bin
126	bitmap	door1	0			bitmaps/00126_door1.png
126	bitmap	door1	0	269	BITD	raw_chunks/00126_door1_269_BITD.bin
127	bitmap	door2	0			bitmaps/00127_door2.png
127	bitmap	door2	0	271	BITD	raw_chunks/00127_door2_271_BITD.bin
128	bitmap	stairgripthing	0			bitmaps/00128_stairgripthing.png
128	bitmap	stairgripthing	0	273	BITD	raw_chunks/00128_stairgripthing_273_BITD.bin
131	bitmap	hiliter_pub	0			bitmaps/00131_hiliter_pub.png
131	bitmap	hiliter_pub	0	276	BITD	raw_chunks/00131_hiliter_pub_276_BITD.bin
133	bitmap	wallight_c_1	0			bitmaps/00133_wallight_c_1.png
133	bitmap	wallight_c_1	0	279	BITD	raw_chunks/00133_wallight_c_1_279_BITD.bin
136	bitmap	wallight_c_3	0			bitmaps/00136_wallight_c_3.png
136	bitmap	wallight_c_3	0	286	BITD	raw_chunks/00136_wallight_c_3_286_BITD.bin
137	bitmap	redlightb	0			bitmaps/00137_redlightb.png
137	bitmap	redlightb	0	288	BITD	raw_chunks/00137_redlightb_288_BITD.bin
142	bitmap	smalllight_c_1b	0			bitmaps/00142_smalllight_c_1b.png
142	bitmap	smalllight_c_1b	0	302	BITD	raw_chunks/00142_smalllight_c_1b_302_BITD.bin
143	bitmap	smallight_c_3b	0			bitmaps/00143_smallight_c_3b.png
143	bitmap	smallight_c_3b	0	304	BITD	raw_chunks/00143_smallight_c_3b_304_BITD.bin
226	text	theater.room	0	243	STXT	text/00226_theater.room_stxt_0.txt
226	text	theater.room	0	243	STXT	raw_chunks/00226_theater.room_243_STXT.bin
227	text	thchair1.props	0	308	STXT	text/00227_thchair1.props_stxt_0.txt
227	text	thchair1.props	0	308	STXT	raw_chunks/00227_thchair1.props_308_STXT.bin
