index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	0	0	0	#000000
18	0	0	0	#000000
19	0	0	0	#000000
20	0	0	0	#000000
21	0	0	0	#000000
22	0	0	0	#000000
23	0	0	0	#000000
24	0	0	0	#000000
25	0	0	0	#000000
26	0	0	0	#000000
27	0	0	0	#000000
28	0	0	0	#000000
29	31	29	23	#1F1D17
30	63	59	46	#3F3B2E
31	95	89	69	#5F5945
32	127	119	92	#7F775C
33	156	145	112	#9C9170
34	181	169	130	#B5A982
35	203	189	147	#CBBD93
36	212	201	166	#D4C9A6
37	233	225	199	#E9E1C7
38	241	237	225	#F1EDE1
39	0	0	0	#000000
40	187	180	164	#BBB4A4
41	218	207	191	#DACFBF
42	223	216	199	#DFD8C7
43	232	226	217	#E8E2D9
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	16	16	16	#101010
50	32	32	32	#202020
51	48	48	48	#303030
52	64	64	64	#404040
53	81	81	81	#515151
54	97	97	97	#616161
55	113	113	113	#717171
56	129	129	129	#818181
57	145	145	145	#919191
58	162	162	162	#A2A2A2
59	178	178	178	#B2B2B2
60	194	194	194	#C2C2C2
61	210	210	210	#D2D2D2
62	226	226	226	#E2E2E2
63	243	243	243	#F3F3F3
64	255	221	69	#FFDD45
65	255	227	100	#FFE364
66	255	233	131	#FFE983
67	255	238	162	#FFEEA2
68	255	244	193	#FFF4C1
69	255	250	224	#FFFAE0
70	255	255	255	#FFFFFF
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	19	18	25	#131219
81	33	32	42	#21202A
82	47	46	58	#2F2E3A
83	61	60	75	#3D3C4B
84	75	73	92	#4B495C
85	109	106	126	#6D6A7E
86	144	139	159	#908B9F
87	178	172	193	#B2ACC1
88	212	205	227	#D4CDE3
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	91	2	5	#5B0205
97	120	13	10	#780D0A
98	150	23	16	#961710
99	180	34	21	#B42215
100	209	44	26	#D12C1A
101	225	108	96	#E16C60
102	240	171	165	#F0ABA5
103	255	235	235	#FFEBEB
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	76	18	13	#4C120D
113	105	21	13	#69150D
114	134	24	13	#86180D
115	163	28	13	#A31C0D
116	209	65	44	#D1412C
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	60	0	2	#3C0002
130	121	0	4	#790004
131	182	0	6	#B60006
132	243	0	8	#F30008
133	246	64	70	#F64046
134	249	128	132	#F98084
135	252	191	194	#FCBFC2
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	31	21	8	#1F1508
145	63	43	16	#3F2B10
146	95	65	24	#5F4118
147	127	87	32	#7F5720
148	155	105	36	#9B6924
149	182	123	41	#B67B29
150	188	141	66	#BC8D42
151	193	159	92	#C19F5C
152	199	176	117	#C7B075
153	204	194	143	#CCC28F
154	217	205	164	#D9CDA4
155	230	217	186	#E6D9BA
156	244	228	207	#F4E4CF
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	42	39	30	#2A271E
178	85	79	61	#554F3D
179	127	119	92	#7F775C
180	156	145	112	#9C9170
181	181	169	130	#B5A982
182	200	190	162	#C8BEA2
183	218	212	193	#DAD4C1
184	237	234	224	#EDEAE0
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	4	4	37	#040425
194	8	9	75	#08094B
195	12	14	113	#0C0E71
196	16	18	151	#101297
197	62	62	177	#3E3EB1
198	108	105	203	#6C69CB
199	154	148	229	#9A94E5
200	200	192	255	#C8C0FF
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	111	140	139	#6F8C8B
209	135	159	156	#879F9C
210	138	162	159	#8AA29F
211	167	185	183	#A7B9B7
212	212	220	219	#D4DCDB
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	15	92	1	#0F5C01
225	255	187	0	#FFBB00
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
