index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	236	1	2	#EC0102
3	88	64	67	#584043
4	234	228	230	#EAE4E6
5	76	83	104	#4C5368
6	36	39	49	#242731
7	83	91	113	#535B71
8	34	96	255	#2260FF
9	71	85	114	#475572
10	106	127	165	#6A7FA5
11	136	192	254	#88C0FE
12	229	242	255	#E5F2FF
13	12	16	19	#0C1013
14	177	223	246	#B1DFF6
15	1	2	2	#010202
16	10	220	0	#0ADC00
17	255	225	103	#FFE167
18	249	211	131	#F9D383
19	252	185	120	#FCB978
20	186	144	101	#BA9065
21	194	140	90	#C28C5A
22	252	187	125	#FCBB7D
23	236	175	119	#ECAF77
24	193	145	101	#C19165
25	191	143	100	#BF8F64
26	190	143	100	#BE8F64
27	65	52	40	#413428
28	44	35	27	#2C231B
29	240	212	187	#F0D4BB
30	207	183	161	#CFB7A1
31	232	211	192	#E8D3C0
32	199	160	126	#C7A07E
33	181	164	150	#B5A496
34	154	126	104	#9A7E68
35	172	156	145	#AC9C91
36	250	122	52	#FA7A34
37	218	110	50	#DA6E32
38	217	109	50	#D96D32
39	211	109	53	#D36D35
40	235	128	64	#EB8040
41	220	208	201	#DCD0C9
42	222	110	51	#DE6E33
43	218	109	50	#DA6D32
44	227	215	209	#E3D7D1
45	235	225	220	#EBE1DC
46	254	247	244	#FEF7F4
47	235	227	224	#EBE3E0
48	178	44	0	#B22C00
49	255	102	51	#FF6633
50	133	76	57	#854C39
51	255	193	174	#FFC1AE
52	255	54	0	#FF3600
53	241	87	40	#F15728
54	234	229	228	#EAE5E4
55	228	0	0	#E40000
56	75	46	46	#4B2E2E
57	163	102	102	#A36666
58	194	154	154	#C29A9A
59	234	229	229	#EAE5E5
60	231	226	226	#E7E2E2
61	43	42	42	#2B2A2A
62	255	253	253	#FFFDFD
63	254	254	254	#FEFEFE
64	252	252	252	#FCFCFC
65	247	247	247	#F7F7F7
66	246	246	246	#F6F6F6
67	228	228	228	#E4E4E4
68	225	225	225	#E1E1E1
69	221	221	221	#DDDDDD
70	215	215	215	#D7D7D7
71	177	177	177	#B1B1B1
72	174	174	174	#AEAEAE
73	170	170	170	#AAAAAA
74	159	159	159	#9F9F9F
75	132	132	132	#848484
76	122	122	122	#7A7A7A
77	91	91	91	#5B5B5B
78	83	83	83	#535353
79	72	72	72	#484848
80	60	60	60	#3C3C3C
81	10	10	10	#0A0A0A
82	9	9	9	#090909
83	6	6	6	#060606
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
