index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	19	14	#00130E
2	0	24	17	#001811
3	0	30	21	#001E15
4	0	36	25	#002419
5	62	54	0	#3E3600
6	146	80	0	#925000
7	0	0	0	#000000
8	48	22	8	#301608
9	68	40	20	#442814
10	91	64	34	#5B4022
11	116	88	50	#745832
12	140	110	63	#8C6E3F
13	166	133	72	#A68548
14	195	162	87	#C3A257
15	218	192	104	#DAC068
16	219	215	120	#DBD778
17	0	0	0	#000000
18	43	14	0	#2B0E00
19	61	20	0	#3D1400
20	91	30	0	#5B1E00
21	110	46	0	#6E2E00
22	134	53	0	#863500
23	162	72	0	#A24800
24	0	0	0	#000000
25	89	55	21	#593715
26	106	64	18	#6A4012
27	137	93	24	#895D18
28	174	127	54	#AE7F36
29	161	115	42	#A1732A
30	134	89	37	#865925
31	118	73	26	#76491A
32	0	0	0	#000000
33	125	78	4	#7D4E04
34	205	123	0	#CD7B00
35	174	100	0	#AE6400
36	246	164	46	#F6A42E
37	219	125	0	#DB7D00
38	234	151	37	#EA9725
39	189	104	0	#BD6800
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	232	36	23	#E82417
177	141	24	15	#8D180F
178	214	137	13	#D6890D
179	111	71	7	#6F4707
180	61	182	110	#3DB66E
181	27	94	54	#1B5E36
182	150	171	28	#96AB1C
183	172	196	55	#ACC437
184	115	131	39	#738327
185	58	66	23	#3A4217
186	160	75	37	#A04B25
187	232	202	95	#E8CA5F
188	195	115	46	#C3732E
189	160	89	26	#A0591A
190	126	52	7	#7E3407
191	90	36	3	#5A2403
192	51	7	0	#330700
193	148	56	23	#943817
194	24	107	75	#186B4B
195	0	72	42	#00482A
196	0	41	26	#00291A
197	0	0	0	#000000
198	250	218	88	#FADA58
199	171	166	67	#ABA643
200	120	115	20	#787314
201	231	197	137	#E7C589
202	224	155	94	#E09B5E
203	173	107	49	#AD6B31
204	121	60	6	#793C06
205	0	0	0	#000000
206	204	204	204	#CCCCCC
207	153	153	153	#999999
208	242	206	98	#F2CE62
209	220	130	58	#DC823A
210	0	0	0	#000000
211	204	153	102	#CC9966
212	153	153	102	#999966
213	102	102	51	#666633
214	204	204	153	#CCCC99
215	153	102	51	#996633
216	102	51	51	#663333
217	102	153	153	#669999
218	102	153	102	#669966
219	85	85	85	#555555
220	68	68	68	#444444
221	51	51	51	#333333
222	34	34	34	#222222
223	17	17	17	#111111
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	75	148	143	#4B948F
229	152	235	230	#98EBE6
230	101	177	172	#65B1AC
231	50	118	114	#327672
232	179	154	123	#B39A7B
233	156	119	75	#9C774B
234	100	75	45	#644B2D
235	45	32	16	#2D2010
236	0	0	0	#000000
237	72	207	243	#48CFF3
238	43	139	165	#2B8BA5
239	13	71	86	#0D4756
240	197	213	174	#C5D5AE
241	152	164	134	#98A486
242	107	115	94	#6B735E
243	62	67	54	#3E4336
244	0	0	0	#000000
245	151	86	36	#975624
246	51	24	4	#331804
247	129	62	53	#813E35
248	103	57	13	#67390D
249	153	85	65	#995541
250	163	175	178	#A3AFB2
251	96	113	118	#607176
252	57	77	86	#394D56
253	17	41	55	#112937
254	235	235	235	#EBEBEB
255	0	0	0	#000000
