member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	text	memberalias.index	0	74	STXT	text/00004_memberalias.index_stxt_0.txt
4	text	memberalias.index	0	74	STXT	raw_chunks/00004_memberalias.index_74_STXT.bin
5	text	much_stool.props	0	76	STXT	text/00005_much_stool.props_stxt_0.txt
5	text	much_stool.props	0	76	STXT	raw_chunks/00005_much_stool.props_76_STXT.bin
6	text	much_sofa1a.props	0	78	STXT	text/00006_much_sofa1a.props_stxt_0.txt
6	text	much_sofa1a.props	0	78	STXT	raw_chunks/00006_much_sofa1a.props_78_STXT.bin
7	text	much_sofa1b.props	0	80	STXT	text/00007_much_sofa1b.props_stxt_0.txt
7	text	much_sofa1b.props	0	80	STXT	raw_chunks/00007_much_sofa1b.props_80_STXT.bin
8	text	much_camera1.props	0	82	STXT	text/00008_much_camera1.props_stxt_0.txt
8	text	much_camera1.props	0	82	STXT	raw_chunks/00008_much_camera1.props_82_STXT.bin
9	text	much_camera2.props	0	84	STXT	text/00009_much_camera2.props_stxt_0.txt
9	text	much_camera2.props	0	84	STXT	raw_chunks/00009_much_camera2.props_84_STXT.bin
10	text	much_camera3.props	0	86	STXT	text/00010_much_camera3.props_stxt_0.txt
10	text	much_camera3.props	0	86	STXT	raw_chunks/00010_much_camera3.props_86_STXT.bin
11	text	much_chair.props	0	88	STXT	text/00011_much_chair.props_stxt_0.txt
11	text	much_chair.props	0	88	STXT	raw_chunks/00011_much_chair.props_88_STXT.bin
13	bitmap	hiliter_much	0			bitmaps/00013_hiliter_much.png
13	bitmap	hiliter_much	0	91	BITD	raw_chunks/00013_hiliter_much_91_BITD.bin
15	bitmap	much_bg	0			bitmaps/00015_much_bg.png
15	bitmap	much_bg	0	95	BITD	raw_chunks/00015_much_bg_95_BITD.bin
17	bitmap	onepixel	0			bitmaps/00017_onepixel.png
17	bitmap	onepixel	0	99	BITD	raw_chunks/00017_onepixel_99_BITD.bin
18	bitmap	exit_shape	0			bitmaps/00018_exit_shape.png
18	bitmap	exit_shape	0	101	BITD	raw_chunks/00018_exit_shape_101_BITD.bin
19	bitmap	much_stairmask1	0			bitmaps/00019_much_stairmask1.png
19	bitmap	much_stairmask1	0	103	BITD	raw_chunks/00019_much_stairmask1_103_BITD.bin
20	bitmap	studio_equipment1	0			bitmaps/00020_studio_equipment1.png
20	bitmap	studio_equipment1	0	105	BITD	raw_chunks/00020_studio_equipment1_105_BITD.bin
21	bitmap	much_ctrl3a	0			bitmaps/00021_much_ctrl3a.png
21	bitmap	much_ctrl3a	0	107	BITD	raw_chunks/00021_much_ctrl3a_107_BITD.bin
22	bitmap	much_ctrl3b	0			bitmaps/00022_much_ctrl3b.png
22	bitmap	much_ctrl3b	0	109	BITD	raw_chunks/00022_much_ctrl3b_109_BITD.bin
23	bitmap	much_ctrl3c	0			bitmaps/00023_much_ctrl3c.png
23	bitmap	much_ctrl3c	0	111	BITD	raw_chunks/00023_much_ctrl3c_111_BITD.bin
24	bitmap	much_comp1	0			bitmaps/00024_much_comp1.png
24	bitmap	much_comp1	0	113	BITD	raw_chunks/00024_much_comp1_113_BITD.bin
25	bitmap	much_comp2	0			bitmaps/00025_much_comp2.png
25	bitmap	much_comp2	0	115	BITD	raw_chunks/00025_much_comp2_115_BITD.bin
26	bitmap	much_comp3	0			bitmaps/00026_much_comp3.png
26	bitmap	much_comp3	0	117	BITD	raw_chunks/00026_much_comp3_117_BITD.bin
27	bitmap	tv_studio_monitors1	0			bitmaps/00027_tv_studio_monitors1.png
27	bitmap	tv_studio_monitors1	0	119	BITD	raw_chunks/00027_tv_studio_monitors1_119_BITD.bin
28	bitmap	tv_studio_monitors2	0			bitmaps/00028_tv_studio_monitors2.png
28	bitmap	tv_studio_monitors2	0	121	BITD	raw_chunks/00028_tv_studio_monitors2_121_BITD.bin
29	bitmap	tv_studio_spotlights1	0			bitmaps/00029_tv_studio_spotlights1.png
29	bitmap	tv_studio_spotlights1	0	123	BITD	raw_chunks/00029_tv_studio_spotlights1_123_BITD.bin
30	bitmap	tv_studio_spotlights2	0			bitmaps/00030_tv_studio_spotlights2.png
30	bitmap	tv_studio_spotlights2	0	125	BITD	raw_chunks/00030_tv_studio_spotlights2_125_BITD.bin
31	bitmap	studio_desk_sd1	0			bitmaps/00031_studio_desk_sd1.png
31	bitmap	studio_desk_sd1	0	127	BITD	raw_chunks/00031_studio_desk_sd1_127_BITD.bin
32	bitmap	much_ctrl_sd	0			bitmaps/00032_much_ctrl_sd.png
