index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	255	255	255	#FFFFFF
3	255	255	255	#FFFFFF
4	255	255	255	#FFFFFF
5	255	255	255	#FFFFFF
6	255	255	255	#FFFFFF
7	255	255	255	#FFFFFF
8	255	255	255	#FFFFFF
9	255	255	255	#FFFFFF
10	255	255	255	#FFFFFF
11	255	255	255	#FFFFFF
12	255	255	255	#FFFFFF
13	255	255	255	#FFFFFF
14	255	255	255	#FFFFFF
15	255	255	255	#FFFFFF
16	255	255	255	#FFFFFF
17	255	255	255	#FFFFFF
18	255	255	255	#FFFFFF
19	255	255	255	#FFFFFF
20	255	255	255	#FFFFFF
21	255	255	255	#FFFFFF
22	255	255	255	#FFFFFF
23	255	255	255	#FFFFFF
24	255	255	255	#FFFFFF
25	255	255	255	#FFFFFF
26	255	255	255	#FFFFFF
27	255	255	255	#FFFFFF
28	255	255	255	#FFFFFF
29	255	255	255	#FFFFFF
30	255	255	255	#FFFFFF
31	255	255	255	#FFFFFF
32	255	255	255	#FFFFFF
33	255	255	255	#FFFFFF
34	255	255	255	#FFFFFF
35	255	255	255	#FFFFFF
36	255	255	255	#FFFFFF
37	255	255	255	#FFFFFF
38	255	255	255	#FFFFFF
39	255	255	255	#FFFFFF
40	255	255	255	#FFFFFF
41	255	255	255	#FFFFFF
42	255	255	255	#FFFFFF
43	255	255	255	#FFFFFF
44	255	255	255	#FFFFFF
45	255	255	255	#FFFFFF
46	255	255	255	#FFFFFF
47	255	255	255	#FFFFFF
48	255	255	255	#FFFFFF
49	255	255	255	#FFFFFF
50	255	255	255	#FFFFFF
51	255	255	255	#FFFFFF
52	255	255	255	#FFFFFF
53	255	255	255	#FFFFFF
54	255	255	255	#FFFFFF
55	255	255	255	#FFFFFF
56	255	255	255	#FFFFFF
57	255	255	255	#FFFFFF
58	255	255	255	#FFFFFF
59	255	255	255	#FFFFFF
60	255	255	255	#FFFFFF
61	255	255	255	#FFFFFF
62	255	255	255	#FFFFFF
63	255	255	255	#FFFFFF
64	255	255	255	#FFFFFF
65	255	255	255	#FFFFFF
66	255	255	255	#FFFFFF
67	255	255	255	#FFFFFF
68	255	255	255	#FFFFFF
69	255	255	255	#FFFFFF
70	255	255	255	#FFFFFF
71	255	255	255	#FFFFFF
72	255	255	255	#FFFFFF
73	255	255	255	#FFFFFF
74	255	255	255	#FFFFFF
75	255	255	255	#FFFFFF
76	255	255	255	#FFFFFF
77	255	255	255	#FFFFFF
78	255	255	255	#FFFFFF
79	255	255	255	#FFFFFF
80	255	255	255	#FFFFFF
81	255	255	255	#FFFFFF
82	255	255	255	#FFFFFF
83	255	255	255	#FFFFFF
84	255	255	255	#FFFFFF
85	255	255	255	#FFFFFF
86	255	255	255	#FFFFFF
87	255	255	255	#FFFFFF
88	255	255	255	#FFFFFF
89	255	255	255	#FFFFFF
90	255	255	255	#FFFFFF
91	255	255	255	#FFFFFF
92	255	255	255	#FFFFFF
93	255	255	255	#FFFFFF
94	255	255	255	#FFFFFF
95	255	255	255	#FFFFFF
96	255	255	255	#FFFFFF
97	255	255	255	#FFFFFF
98	255	255	255	#FFFFFF
99	255	255	255	#FFFFFF
100	255	255	255	#FFFFFF
101	255	255	255	#FFFFFF
102	255	255	255	#FFFFFF
103	255	255	255	#FFFFFF
104	255	255	255	#FFFFFF
105	255	255	255	#FFFFFF
106	255	255	255	#FFFFFF
107	255	255	255	#FFFFFF
108	255	255	255	#FFFFFF
109	255	255	255	#FFFFFF
110	255	255	255	#FFFFFF
111	255	255	255	#FFFFFF
112	255	255	255	#FFFFFF
113	255	255	255	#FFFFFF
114	255	255	255	#FFFFFF
115	255	255	255	#FFFFFF
116	255	255	255	#FFFFFF
117	255	255	255	#FFFFFF
118	255	255	255	#FFFFFF
119	255	255	255	#FFFFFF
120	255	255	255	#FFFFFF
121	255	255	255	#FFFFFF
122	255	255	255	#FFFFFF
123	255	255	255	#FFFFFF
124	255	255	255	#FFFFFF
125	255	255	255	#FFFFFF
126	255	255	255	#FFFFFF
127	255	255	255	#FFFFFF
128	255	255	255	#FFFFFF
129	255	255	255	#FFFFFF
130	221	221	221	#DDDDDD
131	226	227	160	#E2E3A0
132	215	215	215	#D7D7D7
133	177	223	246	#B1DFF6
134	217	217	155	#D9D99B
135	209	203	133	#D1CB85
136	197	197	197	#C5C5C5
137	207	208	97	#CFD061
138	200	201	148	#C8C994
139	208	193	157	#D0C19D
140	206	190	152	#CEBE98
141	201	195	131	#C9C383
142	205	188	149	#CDBC95
143	204	186	148	#CCBA94
144	202	185	145	#CAB991
145	200	188	131	#C8BC83
146	202	184	143	#CAB88F
147	202	184	141	#CAB88D
148	198	185	144	#C6B990
149	200	183	140	#C8B78C
150	199	180	137	#C7B489
151	191	192	89	#BFC059
152	198	179	135	#C6B387
153	196	177	132	#C4B184
154	188	182	127	#BCB67F
155	179	181	132	#B3B584
156	194	174	126	#C2AE7E
157	185	173	150	#B9AD96
158	174	174	174	#AEAEAE
159	173	175	130	#ADAF82
160	179	170	125	#B3AA7D
161	165	165	165	#A5A5A5
162	170	159	137	#AA9F89
163	179	168	52	#B3A834
164	156	156	156	#9C9C9C
165	164	165	76	#A4A54C
166	163	158	97	#A39E61
167	165	155	48	#A59B30
168	198	128	79	#C6804F
169	173	136	98	#AD8862
170	186	129	86	#BA8156
171	168	132	97	#A88461
172	163	143	48	#A38F30
173	135	135	167	#8787A7
174	189	126	64	#BD7E40
175	146	137	119	#928977
176	178	125	84	#B27D54
177	179	124	68	#B37C44
178	195	115	72	#C37348
179	188	121	58	#BC793A
180	197	116	51	#C57433
181	160	127	92	#A07F5C
182	132	132	132	#848484
183	171	118	81	#AB7651
184	169	119	71	#A97747
185	150	132	44	#96842C
186	150	122	92	#967A5C
187	186	108	64	#BA6C40
188	180	113	52	#B47134
189	142	133	41	#8E8529
190	167	116	61	#A7743D
191	173	110	47	#AD6E2F
192	129	131	50	#818332
193	182	99	62	#B6633E
194	159	108	73	#9F6C49
195	138	114	88	#8A7258
196	155	110	58	#9B6E3A
197	148	111	68	#946F44
198	184	98	39	#B86227
199	169	104	45	#A9682D
200	164	105	36	#A46924
201	163	102	52	#A36634
