index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	88	64	67	#584043
3	84	63	66	#543F42
4	234	228	230	#EAE4E6
5	231	228	229	#E7E4E5
6	59	50	61	#3B323D
7	135	135	167	#8787A7
8	37	38	48	#252630
9	26	29	48	#1A1D30
10	39	42	60	#272A3C
11	51	53	65	#333541
12	92	97	119	#5C6177
13	57	59	66	#393B42
14	76	83	104	#4C5368
15	106	113	135	#6A7187
16	41	45	56	#292D38
17	83	91	113	#535B71
18	34	96	255	#2260FF
19	86	90	100	#565A64
20	131	136	149	#838895
21	37	50	79	#25324F
22	124	137	166	#7C89A6
23	46	60	88	#2E3C58
24	66	81	110	#42516E
25	71	85	114	#475572
26	85	101	132	#556584
27	37	39	43	#25272B
28	48	60	82	#303C52
29	106	127	165	#6A7FA5
30	57	62	71	#393E47
31	90	96	106	#5A606A
32	43	60	85	#2B3C55
33	66	91	128	#425B80
34	18	37	62	#12253E
35	118	129	142	#76818E
36	136	192	254	#88C0FE
37	63	77	92	#3F4D5C
38	111	120	130	#6F7882
39	140	148	157	#8C949D
40	229	242	255	#E5F2FF
41	45	116	180	#2D74B4
42	39	70	98	#274662
43	0	104	195	#0068C3
44	12	16	19	#0C1013
45	189	225	249	#BDE1F9
46	24	40	48	#182830
47	177	223	246	#B1DFF6
48	0	176	236	#00B0EC
49	81	112	122	#51707A
50	82	112	122	#52707A
51	86	117	127	#56757F
52	78	106	115	#4E6A73
53	85	115	125	#55737D
54	81	110	119	#516E77
55	79	107	116	#4F6B74
56	77	104	113	#4D6871
57	81	109	118	#516D76
58	82	109	118	#526D76
59	89	117	126	#59757E
60	91	119	128	#5B7780
61	83	109	117	#536D75
62	0	181	236	#00B5EC
63	40	69	77	#28454D
64	88	119	128	#587780
65	86	116	125	#56747D
66	84	113	121	#547179
67	82	110	118	#526E76
68	85	114	122	#55727A
69	89	118	126	#59767E
70	88	117	125	#58757D
71	91	120	128	#5B7880
72	86	113	121	#567179
73	65	106	116	#416A74
74	87	118	126	#57767E
75	92	124	132	#5C7C84
76	85	114	121	#557279
77	86	115	122	#56737A
78	83	110	117	#536E75
79	95	125	133	#5F7D85
80	90	119	126	#5A777E
81	89	118	125	#59767D
82	84	111	118	#546F76
83	80	106	112	#506A70
84	79	105	111	#4F696F
85	92	121	128	#5C7980
86	90	118	125	#5A767D
87	95	124	131	#5F7C83
88	98	127	134	#627F86
89	94	121	128	#5E7980
90	93	120	127	#5D787F
91	87	112	118	#577076
92	45	85	94	#2D555E
93	85	118	125	#55767D
94	86	118	125	#56767D
95	83	112	118	#537076
96	81	108	114	#516C72
97	90	120	126	#5A787E
98	84	112	118	#547076
99	92	122	128	#5C7A80
100	84	111	117	#546F75
101	96	126	132	#607E84
102	95	122	128	#5F7A80
103	94	121	127	#5E797F
104	88	113	118	#587176
105	89	114	119	#597277
106	89	120	126	#59787E
107	85	112	117	#557075
108	87	114	119	#577277
109	94	122	127	#5E7A7F
110	89	115	120	#597378
111	96	124	129	#607C81
112	102	131	136	#668388
113	96	123	128	#607B80
114	103	132	137	#678489
115	89	120	125	#59787D
116	98	129	134	#628186
117	32	42	37	#202A25
118	28	37	32	#1C2520
119	37	48	42	#25302A
120	44	56	49	#2C3831
121	70	88	77	#46584D
122	51	65	56	#334138
123	13	211	23	#0DD317
124	10	220	0	#0ADC00
125	93	129	89	#5D8159
126	19	47	15	#132F0F
127	43	106	35	#2B6A23
128	60	119	53	#3C7735
129	34	87	26	#22571A
130	135	170	127	#87AA7F
131	50	87	35	#325723
132	32	56	23	#203817
133	53	91	38	#355B26
134	76	131	55	#4C8337
135	71	121	50	#477932
136	50	84	35	#325423
137	62	105	44	#3E692C
138	35	59	24	#233B18
139	39	65	27	#27411B
140	127	195	87	#7FC357
141	131	196	88	#83C458
142	255	242	176	#FFF2B0
143	255	225	103	#FFE167
144	217	204	163	#D9CCA3
145	235	224	190	#EBE0BE
146	156	141	108	#9C8D6C
147	149	138	113	#958A71
148	249	211	131	#F9D383
149	252	185	120	#FCB978
150	231	174	118	#E7AE76
151	186	144	101	#BA9065
152	97	63	32	#613F20
153	54	35	18	#362312
154	127	85	46	#7F552E
155	102	68	37	#664425
156	194	140	90	#C28C5A
157	252	187	125	#FCBB7D
158	236	175	119	#ECAF77
159	193	145	101	#C19165
160	190	143	100	#BE8F64
161	65	52	40	#413428
162	44	35	27	#2C231B
163	240	212	187	#F0D4BB
164	207	183	161	#CFB7A1
165	232	211	192	#E8D3C0
166	231	211	192	#E7D3C0
167	78	50	26	#4E321A
168	71	47	26	#472F1A
169	199	160	126	#C7A07E
170	181	164	150	#B5A496
171	154	126	104	#9A7E68
172	172	156	145	#AC9C91
173	93	61	40	#5D3D28
174	218	110	50	#DA6E32
175	217	109	50	#D96D32
176	211	109	53	#D36D35
177	235	128	64	#EB8040
178	250	174	129	#FAAE81
179	220	208	201	#DCD0C9
180	222	110	51	#DE6E33
181	218	109	50	#DA6D32
182	227	215	209	#E3D7D1
183	235	225	220	#EBE1DC
184	235	227	224	#EBE3E0
185	178	44	0	#B22C00
186	255	102	51	#FF6633
187	133	76	57	#854C39
188	255	193	174	#FFC1AE
189	255	54	0	#FF3600
190	241	87	40	#F15728
191	84	40	28	#54281C
192	101	50	36	#653224
193	85	78	76	#554E4C
194	64	31	23	#401F17
195	114	56	41	#723829
196	91	45	33	#5B2D21
197	80	39	29	#50271D
198	154	82	65	#9A5241
199	109	28	12	#6D1C0C
200	168	111	98	#A86F62
201	175	56	35	#AF3823
202	174	40	28	#AE281C
203	228	0	0	#E40000
204	234	1	1	#EA0101
205	75	46	46	#4B2E2E
206	163	102	102	#A36666
207	194	154	154	#C29A9A
208	30	26	26	#1E1A1A
209	49	45	45	#312D2D
210	70	65	65	#464141
211	96	92	92	#605C5C
212	236	230	230	#ECE6E6
213	231	226	226	#E7E2E2
214	43	42	42	#2B2A2A
215	233	229	229	#E9E5E5
216	201	200	200	#C9C8C8
217	252	252	252	#FCFCFC
218	249	249	249	#F9F9F9
219	247	247	247	#F7F7F7
220	244	244	244	#F4F4F4
221	228	228	228	#E4E4E4
222	225	225	225	#E1E1E1
223	221	221	221	#DDDDDD
