member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
19	text	thread.index	0	665	STXT	text/00019_thread.index_stxt_0.txt
19	text	thread.index	0	665	STXT	raw_chunks/00019_thread.index_665_STXT.bin
221	bitmap	dimmer.button.radio.off	0			bitmaps/00221_dimmer.button.radio.off.png
221	bitmap	dimmer.button.radio.off	0	703	BITD	raw_chunks/00221_dimmer.button.radio.off_703_BITD.bin
239	text	variable.index	0	667	STXT	text/00239_variable.index_stxt_0.txt
239	text	variable.index	0	667	STXT	raw_chunks/00239_variable.index_667_STXT.bin
281	bitmap	dimmer.button	0			bitmaps/00281_dimmer.button.png
281	bitmap	dimmer.button	0	709	BITD	raw_chunks/00281_dimmer.button_709_BITD.bin
292	bitmap	dimmer.bg.pattern	0			bitmaps/00292_dimmer.bg.pattern.png
292	bitmap	dimmer.bg.pattern	0	678	BITD	raw_chunks/00292_dimmer.bg.pattern_678_BITD.bin
330	bitmap	dimmer.button.radio.on	0			bitmaps/00330_dimmer.button.radio.on.png
330	bitmap	dimmer.button.radio.on	0	705	BITD	raw_chunks/00330_dimmer.button.radio.on_705_BITD.bin
353	bitmap	dimmer.drag.pattern	0			bitmaps/00353_dimmer.drag.pattern.png
353	bitmap	dimmer.drag.pattern	0	693	BITD	raw_chunks/00353_dimmer.drag.pattern_693_BITD.bin
396	bitmap	dimmer.preview.frame	0			bitmaps/00396_dimmer.preview.frame.png
396	bitmap	dimmer.preview.frame	0	680	BITD	raw_chunks/00396_dimmer.preview.frame_680_BITD.bin
398	bitmap	dimmer.checkbox.checked	0			bitmaps/00398_dimmer.checkbox.checked.png
398	bitmap	dimmer.checkbox.checked	0	686	BITD	raw_chunks/00398_dimmer.checkbox.checked_686_BITD.bin
416	bitmap	dimmer.border.right	0			bitmaps/00416_dimmer.border.right.png
416	bitmap	dimmer.border.right	0	715	BITD	raw_chunks/00416_dimmer.border.right_715_BITD.bin
428	bitmap	pixel.black	0			bitmaps/00428_pixel.black.png
428	bitmap	pixel.black	0	690	BITD	raw_chunks/00428_pixel.black_690_BITD.bin
431	bitmap	dimmer.border.top	0			bitmaps/00431_dimmer.border.top.png
431	bitmap	dimmer.border.top	0	711	BITD	raw_chunks/00431_dimmer.border.top_711_BITD.bin
446	bitmap	dimmer.slider.scale	0			bitmaps/00446_dimmer.slider.scale.png
446	bitmap	dimmer.slider.scale	0	682	BITD	raw_chunks/00446_dimmer.slider.scale_682_BITD.bin
459	bitmap	dimmer.close	0			bitmaps/00459_dimmer.close.png
459	bitmap	dimmer.close	0	695	BITD	raw_chunks/00459_dimmer.close_695_BITD.bin
462	bitmap	dimmer.preview.bg	0			bitmaps/00462_dimmer.preview.bg.png
462	bitmap	dimmer.preview.bg	0	699	BITD	raw_chunks/00462_dimmer.preview.bg_699_BITD.bin
505	bitmap	dimmer.preview.fg	0			bitmaps/00505_dimmer.preview.fg.png
505	bitmap	dimmer.preview.fg	0	701	BITD	raw_chunks/00505_dimmer.preview.fg_701_BITD.bin
527	bitmap	dimmer.preview.all	0			bitmaps/00527_dimmer.preview.all.png
527	bitmap	dimmer.preview.all	0	697	BITD	raw_chunks/00527_dimmer.preview.all_697_BITD.bin
534	bitmap	dimmer.border.left	0			bitmaps/00534_dimmer.border.left.png
534	bitmap	dimmer.border.left	0	713	BITD	raw_chunks/00534_dimmer.border.left_713_BITD.bin
584	text	roomdimmer_control_panel.window	0	674	STXT	text/00584_roomdimmer_control_panel.window_stxt_0.txt
584	text	roomdimmer_control_panel.window	0	674	STXT	raw_chunks/00584_roomdimmer_control_panel.window_674_STXT.bin
635	bitmap	dimmer.border.bottom	0			bitmaps/00635_dimmer.border.bottom.png
635	bitmap	dimmer.border.bottom	0	717	BITD	raw_chunks/00635_dimmer.border.bottom_717_BITD.bin
644	bitmap	dimmer.slider.handle	0			bitmaps/00644_dimmer.slider.handle.png
644	bitmap	dimmer.slider.handle	0	684	BITD	raw_chunks/00644_dimmer.slider.handle_684_BITD.bin
647	bitmap	dimmer.checkbox.unchecked	0			bitmaps/00647_dimmer.checkbox.unchecked.png
647	bitmap	dimmer.checkbox.unchecked	0	688	BITD	raw_chunks/00647_dimmer.checkbox.unchecked_688_BITD.bin
650	bitmap	dimmer.color.highlighter	0			bitmaps/00650_dimmer.color.highlighter.png
650	bitmap	dimmer.color.highlighter	0	707	BITD	raw_chunks/00650_dimmer.color.highlighter_707_BITD.bin
