index	r	g	b	hex
0	255	255	255	#FFFFFF
1	239	239	239	#EFEFEF
2	238	238	238	#EEEEEE
3	221	221	221	#DDDDDD
4	217	217	217	#D9D9D9
5	216	216	213	#D8D8D5
6	252	205	151	#FCCD97
7	251	205	151	#FBCD97
8	251	205	150	#FBCD96
9	251	204	150	#FBCC96
10	255	236	84	#FFEC54
11	187	191	194	#BBBFC2
12	251	236	83	#FBEC53
13	251	236	82	#FBEC52
14	251	235	82	#FBEB52
15	250	235	82	#FAEB52
16	188	188	188	#BCBCBC
17	187	187	187	#BBBBBB
18	255	216	82	#FFD852
19	209	192	150	#D1C096
20	187	179	180	#BBB3B4
21	144	140	251	#908CFB
22	251	140	140	#FB8C8C
23	255	219	54	#FFDB36
24	255	0	255	#FF00FF
25	170	170	170	#AAAAAA
26	231	255	23	#E7FF17
27	6	249	244	#06F9F4
28	255	23	220	#FF17DC
29	6	246	244	#06F6F4
30	163	163	164	#A3A3A4
31	201	164	120	#C9A478
32	201	163	120	#C9A378
33	201	163	119	#C9A377
34	200	163	119	#C8A377
35	255	202	23	#FFCA17
36	172	157	121	#AC9D79
37	176	182	87	#B0B657
38	176	181	87	#B0B557
39	148	148	148	#949494
40	176	181	86	#B0B556
41	143	139	135	#8F8B87
42	136	136	136	#888888
43	211	180	0	#D3B400
44	129	130	132	#818284
45	207	154	29	#CF9A1D
46	160	140	89	#A08C59
47	211	176	0	#D3B000
48	210	177	0	#D2B100
49	208	178	0	#D0B200
50	207	175	0	#CFAF00
51	206	173	0	#CEAD00
52	79	74	217	#4F4AD9
53	217	74	74	#D94A4A
54	151	122	90	#977A5A
55	120	120	120	#787878
56	119	119	119	#777777
57	189	140	24	#BD8C18
58	185	123	32	#B97B20
59	178	152	0	#B29800
60	177	153	0	#B19900
61	177	149	0	#B19500
62	171	146	0	#AB9200
63	23	39	255	#1727FF
64	170	143	0	#AA8F00
65	34	255	23	#22FF17
66	165	142	0	#A58E00
67	164	140	0	#A48C00
68	159	117	28	#9F751C
69	255	23	23	#FF1717
70	50	44	199	#322CC7
71	101	90	100	#655A64
72	199	44	44	#C72C2C
73	74	146	50	#4A9232
74	74	146	49	#4A9231
75	73	146	49	#499231
76	0	237	31	#00ED1F
77	73	145	49	#499131
78	30	25	186	#1E19BA
79	186	25	25	#BA1919
80	127	93	11	#7F5D0B
81	130	84	15	#82540F
82	74	75	75	#4A4B4B
83	198	18	0	#C61200
84	197	18	0	#C51200
85	197	17	0	#C51100
86	68	68	68	#444444
87	35	117	46	#23752E
88	44	111	42	#2C6F2A
89	0	174	23	#00AE17
90	43	111	42	#2B6F2A
91	43	110	42	#2B6E2A
92	43	110	41	#2B6E29
93	29	110	39	#1D6E27
94	20	15	143	#140F8F
95	46	80	50	#2E5032
96	143	15	15	#8F0F0F
97	57	57	57	#393939
98	149	14	0	#950E00
99	148	13	0	#940D00
100	37	72	41	#254829
101	89	52	0	#593400
102	46	46	46	#2E2E2E
103	0	118	15	#00760F
104	0	117	15	#00750F
105	46	44	37	#2E2C25
106	45	44	36	#2D2C24
107	30	80	14	#1E500E
108	30	80	13	#1E500D
109	30	79	13	#1E4F0D
110	40	40	40	#282828
111	27	59	25	#1B3B19
112	27	58	25	#1B3A19
113	26	58	25	#1A3A19
114	26	58	24	#1A3A18
115	37	35	30	#25231E
116	36	35	30	#24231E
117	36	35	29	#24231D
118	29	29	29	#1D1D1D
119	55	22	0	#371600
120	54	22	0	#361600
121	54	21	0	#361500
122	23	26	24	#171A18
123	24	23	20	#181714
124	23	23	19	#171713
125	19	28	6	#131C06
126	19	28	5	#131C05
127	16	16	16	#101010
128	15	14	12	#0F0E0C
129	7	7	7	#070707
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
