member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
19	text	DefaultPartList COPY	0	432	STXT	text/00019_DefaultPartList_COPY_stxt_0.txt
19	text	DefaultPartList COPY	0	432	STXT	raw_chunks/00019_DefaultPartList_COPY_432_STXT.bin
21	text	class.index	0	434	STXT	text/00021_class.index_stxt_0.txt
21	text	class.index	0	434	STXT	raw_chunks/00021_class.index_434_STXT.bin
28	text	plate_gold.window	0	438	STXT	text/00028_plate_gold.window_stxt_0.txt
28	text	plate_gold.window	0	438	STXT	raw_chunks/00028_plate_gold.window_438_STXT.bin
32	text	habbo_lang_test.window	0	436	STXT	text/00032_habbo_lang_test.window_stxt_0.txt
32	text	habbo_lang_test.window	0	436	STXT	raw_chunks/00032_habbo_lang_test.window_436_STXT.bin
53	text	thread.index	0	417	STXT	text/00053_thread.index_stxt_0.txt
53	text	thread.index	0	417	STXT	raw_chunks/00053_thread.index_417_STXT.bin
116	bitmap	trophyblink9	0			bitmaps/00116_trophyblink9.png
116	bitmap	trophyblink9	0	472	BITD	raw_chunks/00116_trophyblink9_472_BITD.bin
117	bitmap	trophyblink8	0			bitmaps/00117_trophyblink8.png
117	bitmap	trophyblink8	0	470	BITD	raw_chunks/00117_trophyblink8_470_BITD.bin
118	bitmap	trophyblink7	0			bitmaps/00118_trophyblink7.png
118	bitmap	trophyblink7	0	468	BITD	raw_chunks/00118_trophyblink7_468_BITD.bin
119	bitmap	trophyblink6	0			bitmaps/00119_trophyblink6.png
119	bitmap	trophyblink6	0	466	BITD	raw_chunks/00119_trophyblink6_466_BITD.bin
120	bitmap	trophyblink5	0			bitmaps/00120_trophyblink5.png
120	bitmap	trophyblink5	0	464	BITD	raw_chunks/00120_trophyblink5_464_BITD.bin
121	bitmap	trophyblink4	0			bitmaps/00121_trophyblink4.png
121	bitmap	trophyblink4	0	462	BITD	raw_chunks/00121_trophyblink4_462_BITD.bin
122	bitmap	trophyblink3	0			bitmaps/00122_trophyblink3.png
122	bitmap	trophyblink3	0	460	BITD	raw_chunks/00122_trophyblink3_460_BITD.bin
123	bitmap	trophyblink2	0			bitmaps/00123_trophyblink2.png
123	bitmap	trophyblink2	0	458	BITD	raw_chunks/00123_trophyblink2_458_BITD.bin
135	bitmap	trophyblink1	0			bitmaps/00135_trophyblink1.png
135	bitmap	trophyblink1	0	456	BITD	raw_chunks/00135_trophyblink1_456_BITD.bin
163	text	plate_silver.window	0	440	STXT	text/00163_plate_silver.window_stxt_0.txt
163	text	plate_silver.window	0	440	STXT	raw_chunks/00163_plate_silver.window_440_STXT.bin
173	text	habbo_hobba_reply.window	0	454	STXT	text/00173_habbo_hobba_reply.window_stxt_0.txt
173	text	habbo_hobba_reply.window	0	454	STXT	raw_chunks/00173_habbo_hobba_reply.window_454_STXT.bin
190	text	habbo_modtool_main.window	0	444	STXT	text/00190_habbo_modtool_main.window_stxt_0.txt
190	text	habbo_modtool_main.window	0	444	STXT	raw_chunks/00190_habbo_modtool_main.window_444_STXT.bin
198	text	habbo_modtool_ban.window	0	450	STXT	text/00198_habbo_modtool_ban.window_stxt_0.txt
198	text	habbo_modtool_ban.window	0	450	STXT	raw_chunks/00198_habbo_modtool_ban.window_450_STXT.bin
199	text	habbo_modtool_room.window	0	448	STXT	text/00199_habbo_modtool_room.window_stxt_0.txt
199	text	habbo_modtool_room.window	0	448	STXT	raw_chunks/00199_habbo_modtool_room.window_448_STXT.bin
200	text	plate_bronze.window	0	442	STXT	text/00200_plate_bronze.window_stxt_0.txt
200	text	plate_bronze.window	0	442	STXT	raw_chunks/00200_plate_bronze.window_442_STXT.bin
220	text	variable.index	0	419	STXT	text/00220_variable.index_stxt_0.txt
220	text	variable.index	0	419	STXT	raw_chunks/00220_variable.index_419_STXT.bin
240	text	error_report.window	0	489	STXT	text/00240_error_report.window_stxt_0.txt
240	text	error_report.window	0	489	STXT	raw_chunks/00240_error_report.window_489_STXT.bin
244	text	error_report_details.window	0	487	STXT	text/00244_error_report_details.window_stxt_0.txt
244	text	error_report_details.window	0	487	STXT	raw_chunks/00244_error_report_details.window_487_STXT.bin
255	text	habbo_hobba_alert.window	0	452	STXT	text/00255_habbo_hobba_alert.window_stxt_0.txt
255	text	habbo_hobba_alert.window	0	452	STXT	raw_chunks/00255_habbo_hobba_alert.window_452_STXT.bin
267	text	habbo_modtool_user.window	0	446	STXT	text/00267_habbo_modtool_user.window_stxt_0.txt
267	text	habbo_modtool_user.window	0	446	STXT	raw_chunks/00267_habbo_modtool_user.window_446_STXT.bin
347	sound	sound_cfh_received	0	494	ediM	sounds/00347_sound_cfh_received_494.mp3
347	sound	sound_cfh_received	0	494	ediM	raw_chunks/00347_sound_cfh_received_494_ediM.bin
379	text	tooltip_external_link.window	0	501	STXT	text/00379_tooltip_external_link.window_stxt_0.txt
379	text	tooltip_external_link.window	0	501	STXT	raw_chunks/00379_tooltip_external_link.window_501_STXT.bin
