member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
7	bitmap	sound_system_ui_sample_5	0			bitmaps/00007_sound_system_ui_sample_5.png
7	bitmap	sound_system_ui_sample_5	0	747	BITD	raw_chunks/00007_sound_system_ui_sample_5_747_BITD.bin
13	sound	sound_machine_sample_0	0	822	ediM	sounds/00013_sound_machine_sample_0_822.mp3
13	sound	sound_machine_sample_0	0	822	ediM	raw_chunks/00013_sound_machine_sample_0_822_ediM.bin
19	text	thread.index	0	646	STXT	text/00019_thread.index_stxt_0.txt
19	text	thread.index	0	646	STXT	raw_chunks/00019_thread.index_646_STXT.bin
23	bitmap	sound_system_ui_setlist_left.active	0			bitmaps/00023_sound_system_ui_setlist_left.active.png
23	bitmap	sound_system_ui_setlist_left.active	0	762	BITD	raw_chunks/00023_sound_system_ui_setlist_left.active_762_BITD.bin
28	bitmap	sound_system_ui_sample_7	0			bitmaps/00028_sound_system_ui_sample_7.png
28	bitmap	sound_system_ui_sample_7	0	753	BITD	raw_chunks/00028_sound_system_ui_sample_7_753_BITD.bin
30	bitmap	sound_system_ui_sample_y_1	0			bitmaps/00030_sound_system_ui_sample_y_1.png
30	bitmap	sound_system_ui_sample_y_1	0	714	BITD	raw_chunks/00030_sound_system_ui_sample_y_1_714_BITD.bin
32	bitmap	sound_system_ui_setlist_bg	0			bitmaps/00032_sound_system_ui_setlist_bg.png
32	bitmap	sound_system_ui_setlist_bg	0	760	BITD	raw_chunks/00032_sound_system_ui_setlist_bg_760_BITD.bin
37	bitmap	sound_system_ui_sample_3	0			bitmaps/00037_sound_system_ui_sample_3.png
37	bitmap	sound_system_ui_sample_3	0	742	BITD	raw_chunks/00037_sound_system_ui_sample_3_742_BITD.bin
42	bitmap	sound_system_ui_setlist_right.pressed	0			bitmaps/00042_sound_system_ui_setlist_right.pressed.png
42	bitmap	sound_system_ui_setlist_right.pressed	0	768	BITD	raw_chunks/00042_sound_system_ui_setlist_right.pressed_768_BITD.bin
43	bitmap	sound_system_ui_setlist_arrow_bg	0			bitmaps/00043_sound_system_ui_setlist_arrow_bg.png
43	bitmap	sound_system_ui_setlist_arrow_bg	0	786	BITD	raw_chunks/00043_sound_system_ui_setlist_arrow_bg_786_BITD.bin
64	bitmap	sound_system_ui_tab5.pressed	0			bitmaps/00064_sound_system_ui_tab5.pressed.png
64	bitmap	sound_system_ui_tab5.pressed	0	702	BITD	raw_chunks/00064_sound_system_ui_tab5.pressed_702_BITD.bin
84	bitmap	jukebox.button.close.down	0			bitmaps/00084_jukebox.button.close.down.png
84	bitmap	jukebox.button.close.down	0	934	BITD	raw_chunks/00084_jukebox.button.close.down_934_BITD.bin
86	bitmap	sound_system_ui_tab1_2.active	0			bitmaps/00086_sound_system_ui_tab1_2.active.png
86	bitmap	sound_system_ui_tab1_2.active	0	684	BITD	raw_chunks/00086_sound_system_ui_tab1_2.active_684_BITD.bin
91	bitmap	sound_machine_playlist_panel2_bottomright	0			bitmaps/00091_sound_machine_playlist_panel2_bottomright.png
91	bitmap	sound_machine_playlist_panel2_bottomright	0	900	BITD	raw_chunks/00091_sound_machine_playlist_panel2_bottomright_900_BITD.bin
92	bitmap	sound_system_ui_sample_y_sp	0			bitmaps/00092_sound_system_ui_sample_y_sp.png
92	bitmap	sound_system_ui_sample_y_sp	0	720	BITD	raw_chunks/00092_sound_system_ui_sample_y_sp_720_BITD.bin
94	bitmap	sound_system_ui_sample_b_1	0			bitmaps/00094_sound_system_ui_sample_b_1.png
