member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	text	thread.index	0	772	STXT	text/00004_thread.index_stxt_0.txt
4	text	thread.index	0	772	STXT	raw_chunks/00004_thread.index_772_STXT.bin
116	text	guide_character.window	0	787	STXT	text/00116_guide_character.window_stxt_0.txt
116	text	guide_character.window	0	787	STXT	raw_chunks/00116_guide_character.window_787_STXT.bin
180	text	bubble.window	0	789	STXT	text/00180_bubble.window_stxt_0.txt
180	text	bubble.window	0	789	STXT	raw_chunks/00180_bubble.window_789_STXT.bin
205	text	bubble_links.window	0	793	STXT	text/00205_bubble_links.window_stxt_0.txt
205	text	bubble_links.window	0	793	STXT	raw_chunks/00205_bubble_links.window_793_STXT.bin
208	bitmap	checkmark_	0			bitmaps/00208_checkmark_.png
208	bitmap	checkmark_	0	803	BITD	raw_chunks/00208_checkmark__803_BITD.bin
233	bitmap	bubble_pointer	0			bitmaps/00233_bubble_pointer.png
233	bitmap	bubble_pointer	0	823	BITD	raw_chunks/00233_bubble_pointer_823_BITD.bin
241	bitmap	bubble_down_right_corner_shadow	0			bitmaps/00241_bubble_down_right_corner_shadow.png
241	bitmap	bubble_down_right_corner_shadow	0	819	BITD	raw_chunks/00241_bubble_down_right_corner_shadow_819_BITD.bin
253	bitmap	bubble_side	0			bitmaps/00253_bubble_side.png
253	bitmap	bubble_side	0	837	BITD	raw_chunks/00253_bubble_side_837_BITD.bin
265	bitmap	bubble_pointer_shadow_1	0			bitmaps/00265_bubble_pointer_shadow_1.png
265	bitmap	bubble_pointer_shadow_1	0	825	BITD	raw_chunks/00265_bubble_pointer_shadow_1_825_BITD.bin
268	text	bubble_text.window	0	791	STXT	text/00268_bubble_text.window_stxt_0.txt
268	text	bubble_text.window	0	791	STXT	raw_chunks/00268_bubble_text.window_791_STXT.bin
276	bitmap	bubble_pointer_shadow_4	0			bitmaps/00276_bubble_pointer_shadow_4.png
276	bitmap	bubble_pointer_shadow_4	0	833	BITD	raw_chunks/00276_bubble_pointer_shadow_4_833_BITD.bin
302	bitmap	bubble_corner_shadow	0			bitmaps/00302_bubble_corner_shadow.png
302	bitmap	bubble_corner_shadow	0	813	BITD	raw_chunks/00302_bubble_corner_shadow_813_BITD.bin
376	text	tutorial_exit_menu.window	0	795	STXT	text/00376_tutorial_exit_menu.window_stxt_0.txt
376	text	tutorial_exit_menu.window	0	795	STXT	raw_chunks/00376_tutorial_exit_menu.window_795_STXT.bin
393	bitmap	bg.bottom.right	0			bitmaps/00393_bg.bottom.right.png
393	bitmap	bg.bottom.right	0	859	BITD	raw_chunks/00393_bg.bottom.right_859_BITD.bin
397	bitmap	bubble_pointer_shadow_2	0			bitmaps/00397_bubble_pointer_shadow_2.png
397	bitmap	bubble_pointer_shadow_2	0	827	BITD	raw_chunks/00397_bubble_pointer_shadow_2_827_BITD.bin
408	bitmap	bg.middle.middle	0			bitmaps/00408_bg.middle.middle.png
408	bitmap	bg.middle.middle	0	851	BITD	raw_chunks/00408_bg.middle.middle_851_BITD.bin
411	bitmap	bg.bottom.left	0			bitmaps/00411_bg.bottom.left.png
411	bitmap	bg.bottom.left	0	855	BITD	raw_chunks/00411_bg.bottom.left_855_BITD.bin
414	bitmap	bg.middle.right	0			bitmaps/00414_bg.middle.right.png
414	bitmap	bg.middle.right	0	853	BITD	raw_chunks/00414_bg.middle.right_853_BITD.bin
436	bitmap	bubble_pointer_shadow_3	0			bitmaps/00436_bubble_pointer_shadow_3.png
436	bitmap	bubble_pointer_shadow_3	0	830	BITD	raw_chunks/00436_bubble_pointer_shadow_3_830_BITD.bin
446	bitmap	bubble_down_left_corner_sha	0			bitmaps/00446_bubble_down_left_corner_sha.png
446	bitmap	bubble_down_left_corner_sha	0	816	BITD	raw_chunks/00446_bubble_down_left_corner_sha_816_BITD.bin
454	text	bubble_static.window	0	799	STXT	text/00454_bubble_static.window_stxt_0.txt
454	text	bubble_static.window	0	799	STXT	raw_chunks/00454_bubble_static.window_799_STXT.bin
468	bitmap	bubble_side_2	0			bitmaps/00468_bubble_side_2.png
468	bitmap	bubble_side_2	0	839	BITD	raw_chunks/00468_bubble_side_2_839_BITD.bin
469	text	variable.index	0	774	STXT	text/00469_variable.index_stxt_0.txt
469	text	variable.index	0	774	STXT	raw_chunks/00469_variable.index_774_STXT.bin
499	bitmap	bg.top.middle	0			bitmaps/00499_bg.top.middle.png
499	bitmap	bg.top.middle	0	845	BITD	raw_chunks/00499_bg.top.middle_845_BITD.bin
502	bitmap	bg.top.left	0			bitmaps/00502_bg.top.left.png
502	bitmap	bg.top.left	0	843	BITD	raw_chunks/00502_bg.top.left_843_BITD.bin
524	bitmap	bubble_help_close	0			bitmaps/00524_bubble_help_close.png
524	bitmap	bubble_help_close	0	841	BITD	raw_chunks/00524_bubble_help_close_841_BITD.bin
582	text	tutorial_exit_menu_bg.window	0	797	STXT	text/00582_tutorial_exit_menu_bg.window_stxt_0.txt
582	text	tutorial_exit_menu_bg.window	0	797	STXT	raw_chunks/00582_tutorial_exit_menu_bg.window_797_STXT.bin
596	bitmap	checkmark	0			bitmaps/00596_checkmark.png
596	bitmap	checkmark	0	801	BITD	raw_chunks/00596_checkmark_801_BITD.bin
634	bitmap	bubble_middle	0			bitmaps/00634_bubble_middle.png
634	bitmap	bubble_middle	0	821	BITD	raw_chunks/00634_bubble_middle_821_BITD.bin
637	bitmap	bubble_pointer_side	0			bitmaps/00637_bubble_pointer_side.png
637	bitmap	bubble_pointer_side	0	835	BITD	raw_chunks/00637_bubble_pointer_side_835_BITD.bin
647	bitmap	bg.top.right	0			bitmaps/00647_bg.top.right.png
647	bitmap	bg.top.right	0	847	BITD	raw_chunks/00647_bg.top.right_847_BITD.bin
649	bitmap	bg.middle.left	0			bitmaps/00649_bg.middle.left.png
649	bitmap	bg.middle.left	0	849	BITD	raw_chunks/00649_bg.middle.left_849_BITD.bin
654	bitmap	bg.bottom.middle	0			bitmaps/00654_bg.bottom.middle.png
654	bitmap	bg.bottom.middle	0	857	BITD	raw_chunks/00654_bg.bottom.middle_857_BITD.bin
750	bitmap	shadow	0			bitmaps/00750_shadow.png
750	bitmap	shadow	0	808	BITD	raw_chunks/00750_shadow_808_BITD.bin
751	bitmap	bubble_corner	0			bitmaps/00751_bubble_corner.png
751	bitmap	bubble_corner	0	810	BITD	raw_chunks/00751_bubble_corner_810_BITD.bin
